"Season","Name","Team","G","PA","BB%","K%","AVG","OBP","SLG","wOBA","xwOBA","wRC+","WAR","playerid"
"1920","Babe Ruth","NYY","142","615","24.4%","13.0%",".376",".533",".849",".598","","239","13.3","1011327"
"1921","Babe Ruth","NYY","152","693","20.9%","11.7%",".378",".512",".846",".575","","224","13.9","1011327"
"1923","Babe Ruth","NYY","152","699","24.3%","13.3%",".393",".545",".764",".571","","231","15.0","1011327"
"1941","Ted Williams","BOS","143","606","24.3%","4.5%",".406",".553",".735",".568","","221","11.0","1014040"
"1926","Babe Ruth","NYY","152","652","22.1%","11.7%",".372",".516",".737",".551","","216","12.0","1011327"
"1924","Babe Ruth","NYY","153","681","20.9%","11.9%",".378",".513",".739",".549","","210","12.5","1011327"
"1927","Babe Ruth","NYY","151","691","19.8%","12.9%",".356",".486",".772",".545","","212","13.0","1011327"
"2002","Barry Bonds","SFG","143","612","32.4%","7.7%",".370",".582",".799",".544","","244","12.7","1109"
"1925","Rogers Hornsby","STL","138","605","13.7%","6.4%",".403",".489",".756",".540","","208","10.8","1006030"
"1927","Lou Gehrig","NYY","155","717","15.2%","11.7%",".373",".474",".765",".540","","209","12.5","1004598"
"1924","Rogers Hornsby","STL","143","640","13.9%","5.0%",".424",".507",".696",".537","","221","12.5","1006030"
"2004","Barry Bonds","SFG","147","617","37.6%","6.6%",".362",".609",".812",".537","","233","11.9","1109"
"2001","Barry Bonds","SFG","153","664","26.7%","14.0%",".328",".515",".863",".537","","235","12.5","1109"
"1894","Hugh Duffy","BSN","125","606","10.9%","2.5%",".440",".502",".694",".526","","169","7.5","1003533"
"1931","Babe Ruth","NYY","145","663","19.3%","7.7%",".373",".495",".700",".525","","206","10.7","1011327"
"1946","Ted Williams","BOS","150","672","23.2%","6.5%",".342",".497",".667",".525","","215","11.8","1014040"
"1887","Tip O'Neill","STL","124","572","8.7%","",".435",".490",".691",".525","","191","8.2","1009821"
"1957","Ted Williams","BOS","132","546","21.8%","7.9%",".388",".526",".731",".524","","223","9.7","1014040"
"1942","Ted Williams","BOS","150","671","21.6%","7.6%",".356",".499",".648",".524","","209","11.6","1014040"
"1932","Jimmie Foxx","PHA","154","701","16.5%","13.7%",".364",".469",".749",".522","","198","11.3","1004285"
"1922","Rogers Hornsby","STL","154","704","9.2%","7.1%",".401",".459",".722",".520","","198","10.6","1006030"
"1930","Babe Ruth","NYY","145","676","20.1%","9.0%",".359",".493",".732",".517","","205","10.5","1011327"
"1871","Levi Meyerle","PHN","26","132","1.5%","0.8%",".492",".500",".700",".517","","190","1.4","1008830"
"1936","Lou Gehrig","NYY","155","719","18.1%","6.4%",".354",".478",".696",".512","","178","9.7","1004598"
"1948","Stan Musial","STL","155","694","11.4%","4.9%",".376",".450",".702",".512","","201","11.1","1009405"
"1934","Lou Gehrig","NYY","154","690","15.8%","4.5%",".363",".465",".706",".511","","194","10.7","1004598"
"1949","Ted Williams","BOS","155","730","22.2%","6.6%",".343",".490",".650",".511","","186","9.9","1014040"
"1895","Ed Delahanty","PHI","116","578","14.9%","5.4%",".404",".500",".617",".510","","177","7.5","1003155"
"1928","Babe Ruth","NYY","154","684","20.0%","12.7%",".323",".463",".709",".510","","200","10.6","1011327"
"1933","Jimmie Foxx","PHA","149","670","14.3%","13.9%",".356",".449",".703",".510","","189","9.9","1004285"
"1919","Babe Ruth","BOS","130","542","18.6%","10.7%",".322",".456",".657",".509","","203","9.4","1011327"
"1938","Jimmie Foxx","BOS","149","685","17.4%","11.1%",".349",".462",".704",".508","","173","8.3","1004285"
"1947","Ted Williams","BOS","156","693","23.4%","6.8%",".343",".499",".634",".508","","207","10.5","1014040"
"1954","Ted Williams","BOS","117","526","25.9%","6.1%",".345",".513",".635",".507","","207","8.4","1014040"
"1939","Jimmie Foxx","BOS","124","563","15.8%","12.8%",".360",".464",".694",".507","","181","7.3","1004285"
"1930","Lou Gehrig","NYY","154","703","14.4%","9.0%",".379",".473",".721",".507","","198","9.6","1004598"
"1928","Rogers Hornsby","BSN","140","619","17.3%","6.6%",".387",".498",".632",".506","","196","9.0","1006030"
"1901","Nap Lajoie","PHA","131","582","4.1%","",".426",".463",".643",".506","","186","8.9","1007259"
"1911","Ty Cobb","DET","146","654","6.7%","",".420",".467",".621",".506","","189","11.0","1002378"
"1894","Bill Joyce","WAS","99","454","19.2%","7.3%",".355",".496",".648",".505","","162","4.9","1006633"
"1948","Ted Williams","BOS","137","638","19.7%","6.4%",".369",".497",".615",".504","","183","8.5","1014040"
"1923","Harry Heilmann","DET","144","626","11.8%","6.4%",".403",".481",".632",".503","","189","9.2","1005590"
"2003","Barry Bonds","SFG","130","550","26.9%","10.5%",".341",".529",".749",".503","","212","10.2","1109"
"1932","Babe Ruth","NYY","133","589","22.1%","10.5%",".341",".489",".661",".501","","192","8.7","1011327"
"1894","Joe Kelley","BAL","129","619","17.3%","5.8%",".393",".502",".602",".501","","158","7.1","1006776"
"1896","Ed Delahanty","PHI","123","574","10.8%","3.8%",".397",".472",".631",".501","","177","7.7","1003155"
"1994","Frank Thomas","CHW","113","517","21.1%","11.8%",".353",".487",".729",".499","","205","7.0","255"
"1957","Mickey Mantle","NYY","144","623","23.4%","12.0%",".365",".512",".665",".498","","217","11.4","1008082"
"1956","Mickey Mantle","NYY","150","652","17.2%","15.2%",".353",".464",".705",".498","","202","11.5","1008082"
"1894","Billy Hamilton","PHI","129","679","18.6%","2.5%",".404",".523",".528",".497","","158","8.3","1005270"
"1929","Rogers Hornsby","CHC","156","712","12.2%","9.1%",".380",".459",".679",".497","","174","11.1","1006030"
"1930","Hack Wilson","CHC","155","709","14.8%","11.8%",".356",".454",".723",".497","","171","8.0","1014083"
"1894","Sam Thompson","PHI","99","478","8.4%","2.7%",".407",".458",".686",".497","","158","4.4","1013024"
"1928","Lou Gehrig","NYY","154","677","14.0%","10.2%",".374",".467",".648",".496","","192","9.7","1004598"
"1939","Joe DiMaggio","NYY","120","524","9.9%","3.8%",".381",".448",".671",".495","","180","8.5","1003311"
"1899","John McGraw","BAL","117","539","23.0%","",".391",".547",".446",".494","","178","9.0","1008542"
"1911","Joe Jackson","CLE","147","641","8.7%","",".408",".468",".590",".494","","184","9.3","1006301"
"1920","George Sisler","SLB","154","692","6.6%","2.7%",".407",".449",".632",".494","","176","9.9","1012021"
"1937","Lou Gehrig","NYY","157","700","18.1%","7.0%",".351",".473",".643",".494","","176","8.5","1004598"
"1927","Harry Heilmann","DET","141","596","12.1%","2.7%",".398",".475",".616",".493","","177","6.9","1005590"
"1935","Arky Vaughan","PIT","137","610","15.9%","3.0%",".385",".491",".607",".493","","194","9.6","1013377"
"1998","Mark McGwire","STL","155","681","23.8%","22.8%",".299",".470",".752",".492","","205","8.5","1008559"
"1923","Rogers Hornsby","STL","107","487","11.3%","6.0%",".384",".459",".627",".490","","183","7.1","1006030"
"1921","Rogers Hornsby","STL","154","674","8.9%","7.1%",".397",".458",".639",".489","","191","11.2","1006030"
"1938","Hank Greenberg","DET","155","681","17.5%","13.5%",".315",".438",".683",".489","","162","7.8","1004996"
"1923","Tris Speaker","CLE","150","693","13.4%","2.2%",".380",".469",".610",".489","","178","8.7","1012309"
"1996","Mark McGwire","OAK","130","548","21.2%","20.4%",".312",".467",".730",".489","","190","7.3","1008559"
"1899","Ed Delahanty","PHI","146","645","8.5%","",".410",".464",".582",".488","","177","8.3","1003155"
"1997","Larry Walker","COL","153","664","11.7%","13.6%",".366",".452",".720",".488","","177","9.1","455"
"1994","Jeff Bagwell","HOU","110","479","13.6%","13.6%",".368",".451",".750",".488","","205","7.8","547"
"1961","Norm Cash","DET","159","672","18.5%","12.6%",".361",".487",".662",".488","","194","10.2","1002043"
"1931","Lou Gehrig","NYY","155","738","15.9%","7.6%",".341",".446",".662",".488","","184","9.2","1004598"
"1930","Babe Herman","BRO","153","699","9.4%","8.0%",".393",".455",".678",".487","","167","7.7","1005691"
"1922","Tris Speaker","CLE","131","516","14.9%","2.1%",".378",".474",".606",".486","","178","6.7","1012309"
"1941","Joe DiMaggio","NYY","139","621","12.2%","2.1%",".357",".440",".643",".486","","181","9.8","1003311"
"1929","Babe Ruth","NYY","135","587","12.3%","10.2%",".345",".430",".697",".486","","184","7.8","1011327"
"1912","Ty Cobb","DET","140","609","7.1%","",".409",".456",".584",".485","","187","9.1","1002378"
"1902","Ed Delahanty","WAS","123","539","11.5%","",".376",".453",".590",".485","","173","7.0","1003155"
"1999","Larry Walker","COL","127","513","11.1%","10.1%",".379",".458",".710",".485","","167","4.7","455"
"1935","Jimmie Foxx","PHA","147","649","17.6%","15.3%",".346",".461",".636",".485","","175","8.5","1004285"
"1934","Jimmie Foxx","PHA","150","652","17.0%","11.5%",".334",".449",".653",".484","","171","8.8","1004285"
"1949","Ralph Kiner","PIT","152","667","17.5%","9.1%",".310",".432",".658",".484","","180","7.8","1006923"
"1922","Babe Ruth","NYY","110","495","17.0%","16.2%",".315",".434",".672",".484","","178","6.5","1011327"
"1894","Ed Delahanty","PHI","114","556","10.8%","2.9%",".407",".478",".585",".484","","151","6.0","1003155"
"1931","Al Simmons","PHA","128","563","8.3%","8.0%",".390",".444",".641",".484","","176","7.9","1011978"
"1893","Billy Hamilton","PHI","82","431","14.6%","1.6%",".380",".490",".524",".484","","163","5.5","1005270"
"1929","Lefty O'Doul","PHI","154","731","10.4%","2.6%",".398",".465",".622",".483","","158","7.4","1009734"
"1912","Joe Jackson","CLE","154","653","8.3%","",".395",".458",".579",".483","","186","9.1","1006301"
"1920","Tris Speaker","CLE","150","674","14.4%","1.9%",".388",".483",".562",".483","","171","8.7","1012309"
"1937","Hank Greenberg","DET","154","701","14.6%","14.4%",".337",".436",".668",".483","","164","8.3","1004996"
"1912","Tris Speaker","BOS","153","675","12.1%","",".383",".464",".567",".483","","190","10.6","1012309"
"1940","Hank Greenberg","DET","148","670","13.9%","11.2%",".340",".433",".670",".482","","168","7.7","1004996"
"1910","Ty Cobb","DET","140","590","10.8%","",".383",".456",".551",".481","","206","10.3","1002378"
"1930","Chuck Klein","PHI","156","719","7.5%","7.0%",".386",".436",".687",".481","","152","6.4","1006991"
"1922","George Sisler","SLB","142","654","7.5%","2.1%",".420",".467",".594",".481","","170","8.3","1012021"
"1895","Sam Thompson","PHI","119","576","5.4%","1.9%",".392",".430",".654",".480","","162","6.3","1013024"
"1917","Ty Cobb","DET","152","669","9.1%","5.1%",".383",".444",".570",".480","","200","11.5","1002378"
"1929","Jimmie Foxx","PHA","149","638","16.1%","11.0%",".354",".463",".625",".480","","176","8.0","1004285"
"1930","Al Simmons","PHA","138","611","6.4%","5.6%",".381",".423",".708",".480","","174","7.6","1011978"
"1925","Tris Speaker","CLE","117","518","13.5%","2.3%",".389",".479",".578",".479","","167","6.4","1012309"
"1951","Ralph Kiner","PIT","151","670","20.4%","8.5%",".309",".452",".627",".479","","179","7.6","1006923"
"1876","Ross Barnes","CHI","66","342","5.8%","2.3%",".429",".462",".590",".478","","197","6.6","1000573"
"1925","Ty Cobb","DET","121","490","13.3%","2.4%",".378",".468",".598",".478","","166","5.4","1002378"
"1980","George Brett","KCR","117","515","11.3%","4.3%",".390",".454",".664",".478","","198","9.1","1001400"
"2020","Juan Soto","WSN","47","196","20.9%","14.3%",".351",".490",".695",".478","","201","2.5","20123"
"1961","Mickey Mantle","NYY","153","646","19.5%","17.3%",".317",".448",".687",".478","","196","10.3","1008082"
"1923","Ken Williams","SLB","147","646","12.2%","5.0%",".357",".439",".623",".477","","168","7.4","1014012"
"1884","Fred Dunlap","STL","101","478","6.1%","",".412",".448",".621",".477","","214","10.2","1003566"
"1949","Stan Musial","STL","157","721","14.8%","5.3%",".338",".438",".624",".477","","177","9.2","1009405"
"2000","Manny Ramirez","CLE","118","532","16.2%","22.0%",".351",".457",".697",".477","","182","4.8","210"
"1994","Albert Belle","CLE","106","480","12.1%","14.8%",".357",".438",".714",".476","","186","5.3","1000802"
"1895","Jesse Burkett","CLE","131","639","11.6%","4.9%",".409",".486",".524",".476","","154","5.9","1001682"
"2000","Todd Helton","COL","160","697","14.8%","8.8%",".372",".463",".698",".476","","162","8.3","432"
"1951","Stan Musial","STL","152","678","14.5%","5.9%",".355",".449",".614",".475","","180","8.6","1009405"
"1913","Joe Jackson","CLE","148","623","12.8%","4.2%",".373",".460",".551",".475","","186","7.5","1006301"
"1929","Mel Ott","NYG","150","674","16.8%","5.6%",".328",".449",".635",".475","","162","8.0","1009904"
"1939","Johnny Mize","STL","153","670","13.7%","7.3%",".349",".444",".626",".475","","178","7.7","1009014"
"1886","King Kelly","CHI","118","534","15.5%","6.2%",".388",".483",".534",".475","","177","7.6","1006806"
"1937","Joe DiMaggio","NYY","151","692","9.2%","5.3%",".346",".412",".673",".474","","165","9.1","1003311"
"1920","Joe Jackson","CHW","146","649","8.6%","2.2%",".382",".444",".589",".474","","167","7.7","1006301"
"1936","Earl Averill","CLE","152","682","9.5%","5.1%",".378",".438",".627",".473","","154","6.9","1000378"
"1928","Goose Goslin","WAS","135","527","9.1%","3.6%",".379",".442",".614",".473","","174","7.3","1004893"
"1936","Jimmie Foxx","BOS","155","693","15.2%","17.2%",".338",".440",".631",".473","","150","6.7","1004285"
"1913","Ty Cobb","DET","122","501","11.6%","6.2%",".390",".467",".535",".473","","186","7.2","1002378"
"1947","Ralph Kiner","PIT","152","666","14.7%","12.2%",".313",".417",".639",".472","","169","8.2","1006923"
"1896","Joe Kelley","BAL","131","627","14.5%","3.0%",".364",".469",".543",".472","","160","7.8","1006776"
"1895","Bill Lange","CHI","123","546","10.1%","4.4%",".389",".456",".575",".472","","152","5.8","1007315"
"1932","Lou Gehrig","NYY","156","708","15.3%","5.4%",".349",".451",".621",".472","","174","8.1","1004598"
"1921","Harry Heilmann","DET","149","672","7.9%","5.5%",".394",".444",".606",".472","","165","6.8","1005590"
"2000","Carlos Delgado","TOR","162","711","17.3%","14.6%",".344",".470",".664",".471","","179","7.4","1297"
"1921","Ty Cobb","DET","128","581","9.6%","3.3%",".389",".452",".596",".471","","164","6.6","1002378"
"1954","Willie Mays","NYG","151","640","10.3%","8.9%",".345",".411",".667",".471","","173","10.3","1008315"
"2000","Jason Giambi","OAK","152","664","20.6%","14.5%",".333",".476",".647",".471","","183","7.7","818"
"1895","Billy Hamilton","PHI","123","629","15.3%","4.8%",".389",".490",".495",".471","","157","6.9","1005270"
"1891","Dan Brouthers","BSR","130","597","14.6%","3.4%",".350",".471",".512",".471","","165","6.3","1001486"
"1935","Lou Gehrig","NYY","149","672","19.6%","5.7%",".329",".466",".583",".471","","171","8.7","1004598"
"1954","Duke Snider","BRO","149","679","12.4%","14.1%",".341",".423",".647",".470","","170","8.3","1012230"
"1956","Ted Williams","BOS","136","503","20.3%","7.8%",".345",".479",".605",".470","","174","6.3","1014040"
"1897","Willie Keeler","BAL","129","618","5.7%","",".424",".464",".539",".470","","159","7.4","1006747"
"1886","Dan Brouthers","DET","121","555","11.9%","2.9%",".370",".445",".581",".469","","181","8.3","1001486"
"1995","Edgar Martinez","SEA","145","639","18.2%","13.6%",".356",".479",".628",".469","","182","7.0","1086"
"1927","Rogers Hornsby","NYG","155","684","12.6%","5.6%",".361",".448",".586",".469","","177","10.4","1006030"
"1872","Ross Barnes","BSN","45","238","3.8%","1.7%",".432",".454",".585",".469","","175","5.2","1000573"
"1946","Stan Musial","STL","156","702","10.4%","4.4%",".365",".434",".587",".468","","187","8.8","1009405"
"1930","Bill Terry","NYG","154","710","8.0%","4.6%",".401",".452",".619",".468","","156","8.2","1012927"
"1873","Ross Barnes","BSN","60","340","5.3%","0.6%",".425",".456",".584",".468","","170","4.8","1000573"
"1896","Jesse Burkett","CLE","133","647","7.6%","2.9%",".410",".461",".541",".468","","154","5.7","1001682"
"1915","Ty Cobb","DET","156","700","16.9%","6.1%",".369",".486",".487",".467","","184","9.8","1002378"
"1890","Roger Connor","NYK","123","573","15.4%","5.6%",".349",".450",".548",".467","","145","7.6","1002537"
"1993","Barry Bonds","SFG","159","674","18.7%","11.7%",".336",".458",".677",".467","","193","10.5","1109"
"1937","Joe Medwick","STL","156","677","6.1%","7.4%",".374",".414",".641",".467","","180","8.3","1008719"
"1981","Mike Schmidt","PHI","102","434","16.8%","16.4%",".316",".435",".644",".467","","198","7.8","1011586"
"1922","Ty Cobb","DET","137","612","9.0%","3.9%",".401",".462",".565",".467","","167","6.3","1002378"
"1897","Fred Clarke","LOU","128","590","7.6%","",".390",".462",".533",".467","","158","6.5","1002280"
"1969","Willie McCovey","SFG","149","623","19.4%","10.6%",".320",".453",".656",".466","","194","7.9","1008423"
"1971","Hank Aaron","ATL","139","573","12.4%","10.1%",".327",".410",".669",".466","","191","7.1","1000001"
"1905","Cy Seymour","CIN","149","643","7.9%","",".377",".429",".559",".466","","174","8.7","1011777"
"1887","Pete Browning","LOU","134","610","9.0%","",".402",".464",".547",".465","","162","7.1","1001554"
"1896","Bill Joyce","- - -","130","600","16.8%","5.7%",".333",".470",".518",".465","","156","6.3","1006633"
"2001","Jason Giambi","OAK","154","671","19.2%","12.4%",".342",".477",".660",".465","","193","9.2","818"
"1900","Honus Wagner","PIT","135","580","7.1%","",".381",".434",".573",".465","","166","6.9","1013485"
"1914","Benny Kauff","IND","154","667","10.8%","8.2%",".370",".447",".534",".465","","167","9.9","1006715"
"2001","Sammy Sosa","CHC","160","711","16.3%","21.5%",".328",".437",".737",".465","","186","9.9","302"
"1925","Harry Heilmann","DET","150","664","10.1%","4.1%",".393",".457",".569",".464","","158","6.5","1005590"
"1890","Pete Browning","CLI","118","571","13.1%","6.3%",".373",".459",".517",".464","","151","6.1","1001554"
"1939","Ted Williams","BOS","149","677","15.8%","9.5%",".327",".436",".609",".464","","156","7.1","1014040"
"1916","Tris Speaker","CLE","151","647","12.7%","3.1%",".386",".470",".502",".464","","182","8.0","1012309"
"1940","Joe DiMaggio","NYY","132","572","10.7%","5.2%",".352",".425",".626",".464","","167","7.5","1003311"
"1930","Lefty O'Doul","PHI","140","606","10.4%","3.5%",".383",".453",".604",".464","","142","4.3","1009734"
"1936","Mel Ott","NYG","150","660","16.8%","6.2%",".328",".448",".588",".464","","180","7.9","1009904"
"1929","Babe Herman","BRO","146","637","8.6%","7.1%",".381",".436",".612",".463","","155","5.2","1005691"
"1887","Bob Caruthers","STL","98","436","15.1%","",".357",".463",".547",".463","","160","5.1","1002026"
"1929","Chuck Klein","PHI","149","679","8.0%","9.0%",".356",".407",".657",".463","","146","5.2","1006991"
"1895","Joe Kelley","BAL","131","617","12.5%","4.7%",".365",".456",".546",".463","","151","6.5","1006776"
"1945","Tommy Holmes","BSN","154","713","9.8%","1.3%",".352",".420",".577",".463","","171","8.7","1005980"
"1933","Chuck Klein","PHI","152","667","8.4%","5.4%",".368",".422",".602",".463","","178","7.5","1006991"
"1937","Dolph Camilli","PHI","131","570","15.8%","14.4%",".339",".446",".587",".463","","167","6.1","1001860"
"1951","Ted Williams","BOS","148","675","21.3%","6.7%",".318",".464",".556",".463","","166","7.1","1014040"
"1933","Babe Ruth","NYY","137","575","19.8%","15.7%",".301",".442",".582",".462","","168","6.7","1011327"
"1933","Lou Gehrig","NYY","152","687","13.4%","6.1%",".334",".424",".605",".462","","168","7.2","1004598"
"1939","Mel Ott","NYG","125","508","19.7%","9.8%",".308",".449",".581",".462","","174","5.6","1009904"
"1922","Harry Heilmann","DET","118","527","11.0%","5.3%",".356",".432",".598",".462","","164","5.0","1005590"
"1954","Ted Kluszewski","CIN","149","659","11.8%","5.3%",".326",".407",".642",".461","","164","7.4","1007020"
"2015","Bryce Harper","WSN","153","654","19.0%","20.0%",".330",".460",".649",".461","","197","9.3","11579"
"1910","Nap Lajoie","CLE","159","677","8.9%","",".384",".445",".514",".461","","194","9.3","1007259"
"1922","Ken Williams","SLB","153","678","10.9%","4.6%",".332",".413",".627",".461","","158","7.4","1014012"
"1943","Stan Musial","STL","157","701","10.3%","2.6%",".357",".425",".562",".461","","180","9.9","1009405"
"2003","Albert Pujols","STL","157","685","11.5%","9.5%",".359",".439",".667",".461","","184","9.5","1177"
"2001","Larry Walker","COL","142","601","13.6%","17.1%",".350",".449",".662",".461","","163","7.6","455"
"2002","Jim Thome","CLE","147","613","19.9%","22.7%",".304",".445",".677",".461","","189","7.3","409"
"1896","Hughie Jennings","BAL","130","602","3.2%","1.8%",".401",".472",".488",".461","","154","8.8","1006396"
"1940","Ted Williams","BOS","144","661","14.5%","8.2%",".344",".442",".594",".461","","159","6.7","1014040"
"1912","Heinie Zimmerman","CHC","145","619","6.1%","9.7%",".372",".418",".571",".461","","162","7.6","1014444"
"1953","Stan Musial","STL","157","698","15.0%","4.6%",".337",".437",".609",".460","","165","7.5","1009405"
"1950","Stan Musial","STL","146","645","13.5%","5.6%",".346",".437",".596",".460","","168","6.6","1009405"
"1939","Hank Greenberg","DET","138","604","15.1%","15.7%",".312",".420",".622",".460","","151","5.9","1004996"
"1889","Dan Brouthers","BSN","126","565","11.7%","1.1%",".373",".462",".507",".460","","154","6.1","1001486"
"1893","Ed Delahanty","PHI","132","652","7.2%","3.1%",".368",".423",".583",".460","","151","7.7","1003155"
"1938","Johnny Mize","STL","149","609","12.2%","7.7%",".337",".422",".614",".459","","179","6.6","1009014"
"2002","Manny Ramirez","BOS","120","518","14.1%","16.4%",".349",".450",".647",".459","","185","5.3","210"
"1999","Manny Ramirez","CLE","147","640","15.0%","20.5%",".333",".442",".663",".459","","172","7.5","210"
"1900","Elmer Flick","PHI","138","623","9.0%","",".367",".441",".545",".459","","163","6.3","1004158"
"1899","Jesse Burkett","STL","141","635","10.6%","",".396",".463",".500",".459","","159","6.1","1001682"
"1953","Duke Snider","BRO","153","680","12.1%","13.2%",".336",".419",".627",".459","","165","8.8","1012230"
"1938","Mel Ott","NYG","150","652","18.1%","7.2%",".311",".442",".583",".459","","181","8.7","1009904"
"2008","Albert Pujols","STL","148","641","16.2%","8.4%",".357",".462",".653",".459","","184","8.7","1177"
"1908","Honus Wagner","PIT","151","641","8.4%","",".354",".415",".542",".459","","194","11.8","1013485"
"1929","Hack Wilson","CHC","150","670","11.6%","12.4%",".345",".425",".618",".459","","152","6.6","1014083"
"1992","Barry Bonds","PIT","140","612","20.8%","11.3%",".311",".456",".624",".459","","198","9.6","1109"
"1918","Ty Cobb","DET","111","473","8.7%","4.4%",".382",".440",".515",".459","","182","6.5","1002378"
"1998","Larry Walker","COL","130","524","12.2%","11.6%",".363",".445",".630",".459","","159","5.0","455"
"1914","Steve Evans","BKF","145","580","8.6%","8.4%",".348",".416",".556",".459","","168","6.3","1003870"
"1900","John McGraw","STL","99","447","19.0%","",".344",".505",".416",".458","","161","5.4","1008542"
"1922","Ray Grimes","CHC","138","596","12.6%","5.5%",".354",".442",".572",".458","","158","5.9","1005065"
"1909","Ty Cobb","DET","156","651","7.4%","",".377",".431",".517",".458","","188","9.7","1002378"
"1913","Tris Speaker","BOS","141","608","10.7%","3.6%",".363",".441",".533",".458","","180","8.6","1012309"
"1954","Stan Musial","STL","153","705","14.6%","5.5%",".330",".428",".607",".458","","164","7.3","1009405"
"1930","Jimmie Foxx","PHA","153","673","13.8%","9.8%",".335",".429",".637",".458","","160","7.0","1004285"
"1898","Billy Hamilton","BSN","110","508","17.1%","",".369",".480",".453",".458","","159","5.1","1005270"
"1930","Mel Ott","NYG","148","646","15.9%","5.4%",".349",".458",".578",".457","","150","6.9","1009904"
"2001","Todd Helton","COL","159","697","14.1%","14.9%",".336",".432",".685",".457","","160","7.1","432"
"1932","Chuck Klein","PHI","154","711","8.4%","6.9%",".348",".404",".646",".457","","163","6.9","1006991"
"1910","Sherry Magee","PHI","154","647","14.5%","5.6%",".331",".445",".507",".457","","168","7.5","1007965"
"1925","Jack Fournier","BRO","145","649","13.3%","6.0%",".350",".446",".569",".457","","159","5.8","1004264"
"1944","Stan Musial","STL","146","667","13.5%","4.2%",".347",".440",".549",".457","","174","9.3","1009405"
"1935","Hank Greenberg","DET","152","710","12.3%","12.8%",".328",".411",".628",".457","","158","7.6","1004996"
"1894","Jake Stenzel","PIT","131","603","12.4%","2.2%",".354",".441",".580",".457","","140","4.5","1012485"
"1937","Johnny Mize","STL","145","621","9.0%","9.2%",".364",".427",".595",".456","","174","6.4","1009014"
"1915","Benny Kauff","BKF","136","581","14.6%","8.6%",".342",".446",".509",".456","","175","8.4","1006715"
"1895","Jake Stenzel","PIT","129","588","9.7%","4.3%",".374",".447",".539",".456","","149","5.1","1012485"
"1996","Gary Sheffield","FLA","161","677","21.0%","9.7%",".314",".465",".624",".456","","185","6.5","114"
"1897","Ed Delahanty","PHI","129","598","10.0%","",".377",".444",".538",".456","","153","5.8","1003155"
"2020","Freddie Freeman","ATL","60","262","17.2%","14.1%",".341",".462",".640",".456","","186","3.3","5361"
"1979","Fred Lynn","BOS","147","622","13.2%","12.7%",".333",".423",".637",".456","","175","8.6","1007872"
"2000","Barry Bonds","SFG","143","607","19.3%","12.7%",".306",".440",".688",".456","","174","7.6","1109"
"1913","Gavvy Cravath","PHI","147","594","9.3%","10.6%",".341",".407",".568",".456","","166","5.8","1002735"
"1896","Bill Dahlen","CHI","125","573","11.2%","6.3%",".352",".438",".553",".456","","147","7.4","1002924"
"1995","Albert Belle","CLE","143","631","11.6%","12.7%",".317",".401",".690",".456","","173","7.2","1000802"
"1936","Dolph Camilli","PHI","151","651","17.8%","12.9%",".315",".441",".577",".456","","159","5.6","1001860"
"1953","Al Rosen","CLE","155","688","12.4%","7.0%",".336",".422",".613",".456","","178","9.1","1011208"
"1940","Johnny Mize","STL","155","666","12.3%","7.4%",".314",".404",".636",".455","","174","7.2","1009014"
"1970","Rico Carty","ATL","136","560","13.8%","8.2%",".366",".454",".584",".455","","173","6.7","1002025"
"1920","Rogers Hornsby","STL","149","660","9.1%","7.6%",".370",".431",".559",".455","","187","9.8","1006030"
"1948","Lou Boudreau","CLE","152","676","14.5%","1.3%",".355",".453",".534",".455","","166","10.9","1001234"
"2013","Miguel Cabrera","DET","148","652","13.8%","14.4%",".348",".442",".636",".455","","193","8.6","1744"
"1970","Carl Yastrzemski","BOS","161","697","18.4%","9.5%",".329",".452",".592",".455","","179","8.9","1014326"
"1928","Jim Bottomley","STL","149","667","10.6%","8.1%",".325",".402",".628",".455","","160","5.9","1001228"
"1893","Jesse Burkett","CLE","125","616","15.9%","3.7%",".348",".459",".491",".455","","145","4.2","1001682"
"1925","Al Simmons","PHA","153","696","5.0%","5.9%",".387",".419",".599",".455","","151","6.8","1011978"
"1997","Frank Thomas","CHW","146","649","16.8%","10.6%",".347",".456",".611",".454","","179","7.2","255"
"1936","Luke Appling","CHW","138","618","13.8%","4.0%",".388",".474",".508",".454","","142","7.1","1000284"
"1894","Bill Dahlen","CHI","121","581","13.1%","5.7%",".357",".444",".566",".454","","132","4.6","1002924"
"1967","Carl Yastrzemski","BOS","161","680","13.4%","10.1%",".326",".418",".622",".454","","194","11.1","1014326"
"1911","Sam Crawford","DET","146","648","9.4%","",".378",".438",".526",".454","","159","5.9","1002748"
"1993","John Olerud","TOR","158","679","16.8%","9.6%",".363",".473",".599",".454","","179","8.1","1093"
"1925","Kiki Cuyler","PIT","153","700","8.3%","8.0%",".357",".423",".598",".454","","154","7.5","1002914"
"1896","Billy Hamilton","BSN","131","641","17.2%","4.5%",".365",".477",".463",".454","","145","6.0","1005270"
"1929","Al Simmons","PHA","143","629","4.9%","6.0%",".365",".398",".642",".454","","160","7.9","1011978"
"2004","Todd Helton","COL","154","683","18.6%","10.5%",".347",".469",".620",".454","","166","7.0","432"
"1976","Joe Morgan","CIN","141","599","19.0%","6.8%",".320",".444",".576",".454","","184","9.5","1009179"
"1904","Nap Lajoie","CLE","140","594","4.5%","",".376",".413",".552",".454","","196","8.8","1007259"
