"Season","Name","Team","G","PA","BB%","K%","AVG","OBP","SLG","wOBA","xwOBA","wRC+","WAR","playerid"
"1896","Patsy Donovan","PIT","131","624","5.6%","2.9%",".319",".370",".387",".364","","104","2.5","1003399"
"1970","Mike Epstein","WAS","140","518","14.1%","22.6%",".256",".371",".444",".364","","128","1.9","1003800"
"1931","Roy Johnson","DET","151","697","10.3%","7.3%",".279",".355",".438",".364","","104","2.4","1006498"
"1969","Alex Johnson","CIN","139","572","4.4%","12.1%",".315",".350",".463",".364","","120","2.8","1006418"
"2011","Ian Kinsler","TEX","155","723","12.3%","9.8%",".255",".355",".477",".364","","123","7.3","6195"
"2017","Corey Seager","LAD","145","613","10.9%","21.4%",".295",".375",".479",".364","","127","6.0","13624"
"1938","Ken Keltner","CLE","149","619","5.3%","12.1%",".276",".319",".497",".364","","97","2.2","1006821"
"1976","Dave Winfield","SDP","137","567","11.5%","13.8%",".283",".366",".431",".364","","132","4.6","1014127"
"2013","Marlon Byrd","- - -","147","579","5.4%","24.9%",".291",".336",".511",".364","","137","4.0","950"
"1993","Carlos Baerga","CLE","154","680","5.0%","10.0%",".321",".355",".486",".364","","122","4.4","175"
"2015","Kendrys Morales","KCR","158","639","9.1%","16.1%",".290",".362",".485",".364","","131","2.1","8610"
"1939","Taffy Wright","WAS","129","547","6.9%","3.5%",".309",".359",".435",".364","","105","1.7","1014296"
"1962","Lee Thomas","LAA","160","652","8.4%","11.3%",".290",".355",".467",".364","","125","3.1","1012986"
"2000","John Olerud","SEA","159","683","14.9%","14.1%",".285",".392",".439",".364","","115","3.6","1093"
"1923","Cotton Tierney","- - -","150","640","4.1%","8.1%",".312",".343",".447",".364","","95","2.6","1013061"
"1885","Buck Ewing","NYG","81","355","3.7%","4.8%",".304",".330",".471",".364","","142","3.8","1003881"
"1935","Gus Suhr","PIT","153","604","11.6%","8.9%",".272",".357",".437",".364","","112","2.3","1012674"
"2007","Dustin Pedroia","BOS","139","581","8.1%","7.2%",".317",".380",".442",".364","","117","3.7","8370"
"1915","Jake Daubert","BRO","150","641","8.9%","7.5%",".301",".369",".381",".364","","125","3.9","1003005"
"1976","Ron LeFlore","DET","135","603","8.5%","18.4%",".316",".376",".410",".364","","128","4.1","1007478"
"1974","Bobby Bonds","SFG","150","670","14.2%","20.0%",".256",".364",".434",".364","","121","4.4","1001157"
"1977","Jose Cruz","HOU","157","661","10.4%","10.1%",".299",".368",".475",".364","","130","4.6","1002841"
"1998","David Segui","SEA","143","580","8.4%","13.8%",".305",".359",".487",".364","","116","2.9","169"
"1966","Norm Cash","DET","160","679","9.7%","13.4%",".279",".351",".478",".364","","137","4.0","1002043"
"1935","Ben Chapman","NYY","140","629","9.7%","6.2%",".289",".361",".430",".364","","109","3.2","1002141"
"2017","Joey Gallo","TEX","145","532","14.1%","36.8%",".209",".333",".537",".364","","119","2.7","14128"
"1983","Larry Herndon","DET","153","658","7.0%","14.4%",".302",".351",".478",".364","","126","3.7","1005717"
"1961","Tito Francona","CLE","155","667","8.4%","7.8%",".301",".363",".459",".364","","121","3.5","1004293"
"1953","Dick Gernert","BOS","139","590","14.9%","13.9%",".253",".371",".415",".364","","107","1.4","1004637"
"1956","Harry Simpson","KCA","141","597","7.9%","13.7%",".293",".347",".490",".364","","112","1.0","1011995"
"1917","Max Carey","PIT","155","668","8.7%","5.7%",".296",".369",".378",".364","","128","5.6","1001944"
"2008","Brian Roberts","BAL","155","704","11.6%","14.8%",".296",".378",".450",".364","","119","4.8","166"
"1948","Alvin Dark","BSN","137","579","4.1%","6.2%",".322",".353",".433",".364","","115","3.9","1002987"
"1932","Dick Porter","CLE","146","700","9.1%","6.1%",".308",".373",".420",".364","","102","1.4","1010451"
"1910","Sam Crawford","DET","154","650","5.7%","",".289",".332",".423",".364","","128","3.1","1002748"
"2002","Eric Chavez","OAK","153","653","10.0%","18.2%",".275",".348",".513",".364","","125","5.7","906"
"1943","Whitey Kurowski","STL","139","565","5.5%","9.6%",".287",".330",".439",".364","","118","3.0","1007215"
"1998","Fernando Vina","MIL","159","722","7.5%","6.4%",".311",".386",".427",".364","","119","3.1","1189"
"2021","Carlos Correa","HOU","148","640","11.7%","18.1%",".279",".366",".485",".364","","134","5.8","14162"
"1967","Adolfo Phillips","CHC","144","541","14.8%","17.2%",".268",".384",".458",".364","","130","5.2","1010280"
"2015","Carlos Gonzalez","COL","153","608","7.6%","21.9%",".271",".325",".540",".364","","116","2.8","7287"
"1984","George Bell","TOR","159","643","3.7%","13.4%",".292",".326",".498",".364","","122","3.2","1000808"
"1927","George Sisler","SLB","149","661","3.6%","2.3%",".327",".357",".430",".364","","98","1.4","1012021"
"1893","Patsy Donovan","PIT","113","544","7.7%","1.5%",".317",".373",".371",".364","","102","2.1","1003399"
"2002","Garret Anderson","ANA","158","678","4.4%","11.8%",".306",".332",".539",".364","","123","3.7","2"
"1930","Harry Rice","- - -","137","543","9.2%","5.3%",".300",".372",".426",".364","","107","2.0","1010895"
"2002","Carlos Beltran","KCR","162","722","9.8%","18.7%",".273",".346",".501",".364","","117","5.4","589"
"2020","Chris Taylor","LAD","56","214","12.1%","25.7%",".270",".366",".476",".364","","130","1.4","13757"
"1918","George Burns","NYG","119","522","8.2%","7.1%",".290",".354",".389",".364","","130","4.6","1001708"
"2012","Miguel Montero","ARI","141","573","12.7%","22.7%",".286",".391",".438",".364","","125","5.6","3364"
"1997","Jay Bell","KCR","153","660","10.8%","15.3%",".291",".368",".461",".364","","116","5.4","48"
"1979","Dwight Evans","BOS","152","563","12.3%","13.5%",".274",".364",".456",".364","","115","3.9","1003865"
