"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"67084","592663","J.T. Realmuto",30,"PHI",118,4158,16465,"14.8","14.8",6964,"0.014",".005","13.8","5.2",4993,"-0.001",".002","0.7","1.9",3654,"-0.004","0.003",25,"-0.012","0.122","0.2","0"
"59431","545358","Max Stassi",30,"LAA",86,3033,11913,"12.2","12.3",5055,"0.016",".006","11.6","4.2",3667,"-0.001",".002","0.5","1.7",2645,"0.001","0.004",34,"-0.010","0.102","0.2","0.3"
"101621","624431","Jose Trevino",28,"TEX",88,3104,12070,"11.6","11.7",4984,"0.017",".006","11.7","4.1",3745,"0",".002","0.2","1.7",2779,"0","0.004",34,"0.009","0.088","-0.1","1.9"
"102612","641680","Jonah Heim",26,"TEX",78,2701,10395,"10.1","10.6",4353,"0.018",".006","10.7","3.8",2959,"0.001",".002","-0.4","1.8",2198,"0","0.004",28,"-0.002","0.106","0.2","0.3"
"66068","553882","Omar Narváez",29,"MIL",111,3697,14925,"10.5","9.9",6488,"0.011",".006","10.0","5.1",4644,"0.001",".002","-1.0","2.3",3367,"0.002","0.004",45,"0.014","0.086","1.0","2.5"
"108278","669221","Sean Murphy",26,"OAK",112,3886,14783,"8.9","8.7",6185,"0.010",".006","9.0","5.0",4275,"0",".002","0","1.8",3248,"-0.001","0.004",34,"-0.007","0.103","-0.3","0"
"70397","595978","Austin Hedges",28,"CLE",87,3115,12266,"7.5","7.5",4970,"0.009",".007","6.4","4.9",3654,"-0.001",".002","0.8","1.6",2773,"-0.001","0.004",30,"0.005","0.097","0.3","1.8"
"100653","621512","Tomás Nido",27,"NYM",52,1529,5964,"7.2","7.3",2499,"0.020",".008","7.0","2.8",1838,"0",".003","0.1","1.2",1309,"0","0.006",10,"-0.032","0.181","0.2","0"
"57969","543309","Kyle Higashioka",31,"NYY",66,2128,8429,"7.0","7.0",3341,"0.014",".008","6.7","3.7",2523,"0",".003","0.2","1.6",1866,"0","0.005",27,"0.004","0.106","0.1","1.8"
"108612","669257","Will Smith",26,"LAD",117,4134,16176,"6.4","6.7",6579,"0.007",".006","6.5","5.3",4965,"0",".002","-0.2","1.9",3599,"0.003","0.004",64,"-0.003","0.074","0.4","0.4"
"124659","680777","Ryan Jeffers",24,"MIN",84,2854,11035,"6.7","6.6",4366,"0.010",".006","6.2","4.0",3194,"0",".002","0.2","1.7",2381,"0.002","0.005",41,"0.001","0.089","0.2","2.3"
"101630","624512","Reese McGuire",26,"TOR",73,2231,8862,"5.8","6.3",3674,"0.011",".007","5.8","3.5",2725,"0",".002","0.3","1.4",1998,"-0.001","0.004",19,"-0.028","0.141","0.2","0"
"71213","607732","Jacob Stallings",31,"PIT",104,3899,15291,"6.9","6.1",6218,"0.006",".006","5.3","4.9",4863,"-0.001",".002","0.6","1.9",3610,"-0.001","0.003",38,"-0.007","0.095","0.2","0"
"99903","572287","Mike Zunino",30,"TB",105,3540,13711,"5.3","5.6",5511,"0.007",".006","5.6","4.8",3947,"0",".002","-0.4","2.0",2932,"0.001","0.004",40,"0.007","0.093","0.5","2.4"
"48685","444489","Manny Piña",34,"MIL",65,1889,7534,"5.0","4.9",3090,"0.010",".008","4.2","3.5",2337,"-0.001",".002","0.5","1.3",1667,"0","0.004",24,"-0.023","0.127","0.2","0.2"
"55784","518595","Travis d'Arnaud",32,"ATL",57,1974,7703,"5.2","4.5",3138,"0.010",".008","4.3","3.3",2277,"0",".002","0.2","1.3",1629,"0.001","0.005",23,"-0.005","0.116","0","0.2"
"58548","457763","Buster Posey",34,"SF",106,3717,14166,"4.4","4.3",5891,"0.004",".006","3.5","5.1",4190,"-0.001",".002","0.8","1.6",3100,"-0.001","0.004",28,"-0.005","0.105","0","0"
"70394","595956","Cam Gallagher",28,"KC",46,1323,5181,,"4.3",2105,"0.013",".010","3.8","2.8",1645,"-0.001",".003","0.5","1.2",1226,"0","0.005",15,"-0.007","0.157","0","0.2"
"69513","605131","Austin Barnes",31,"LAD",52,1792,6843,"4.1","4.3",2727,"0.010",".009","3.9","3.6",2140,"0",".003","-0.1","1.3",1515,"0.003","0.006",27,"0.005","0.105","0.4","1.8"
"59592","571466","Tucker Barnhart",30,"CIN",102,3675,14571,"4.3","4.1",6325,"0.004",".006","3.2","5.3",4707,"0",".002","0.5","1.9",3493,"0","0.003",37,"-0.001","0.095","0.4","0"
"58767","543877","Christian Vázquez",30,"BOS",132,4551,18097,"4.0","3.6",7760,"0.003",".006","3.0","6.1",5859,"0",".001","0.4","2.1",4374,"-0.001","0.003",52,"-0.013","0.082","0.1","0"
"106960","663886","Tyler Stephenson",24,"CIN",78,2524,10089,"3.3","3.4",4197,"0.006",".007","3.5","3.9",3192,"0",".002","-0.2","1.7",2307,"0","0.004",25,"0.007","0.109","0.1","1.7"
"65870","518735","Yasmani Grandal",32,"CWS",80,2631,10543,"2.7","3.2",4272,"0.005",".007","3.1","4.2",3266,"0",".002","0","1.7",2390,"0.002","0.005",42,"-0.005","0.085","0.1","0.3"
"133509","663728","Cal Raleigh",24,"SEA",43,1423,5497,"3.1","3.0",2271,"0.010",".008","3.1","2.6",1623,"0",".002","-0.1","1.0",1226,"0.001","0.006",15,"-0.006","0.146","0","0.2"
"100316","608700","Kevin Plawecki",30,"BOS",53,1463,5706,"2.9","2.8",2308,"0.008",".009","2.6","2.7",1865,"0.001",".003","-0.3","1.3",1392,"0.004","0.006",31,"0.017","0.092","0.5","1.8"
"68062","595751","Jorge Alfaro",28,"MIA",61,2045,7948,"3.5","2.8",3335,"0.007",".007","3.4","3.3",2397,"0.001",".002","-0.8","1.3",1813,"-0.003","0.005",14,"-0.008","0.153","0.2","0"
"107452","668663","Tres Barrera",26,"WSH",29,1035,3915,"2.6","2.6",1602,"0.011",".010","2.4","2.3",1196,"0",".003","0.1","0.9",825,"0.001","0.007",14,"0.007","0.159","0.1","1.4"
"66057","553869","Elias Díaz",30,"COL",98,3349,12793,"3.7","2.6",5520,"0.002",".006","1.7","4.7",4148,"0",".002","-0.1","2.0",3177,"-0.002","0.004",24,"-0.046","0.129","1.0","0"
"70673","608596","Tom Murphy",30,"SEA",88,3069,12065,"2.4","2.5",4865,"0.003",".007","1.9","4.6",3516,"0",".002","0","1.7",2632,"0.001","0.004",39,"0.005","0.088","0.6","2.2"
"56945","519390","Stephen Vogt",36,"ATL",63,2168,8371,"2.1","1.8",3482,"0.004",".008","1.7","3.8",2572,"0",".002","0","1.5",1939,"0.001","0.005",34,"0.002","0.099","0.1","2.1"
"48082","455117","Martín Maldonado",34,"HOU",123,4254,16739,"2.1","1.8",7215,"0.002",".006","2.3","5.8",5276,"0",".002","-0.3","2.1",3986,"-0.002","0.003",33,"-0.021","0.113","-0.3","0"
"108516","666163","Ben Rortvedt",23,"MIN",39,1128,4482,"1.6","1.8",1830,"0.006",".010","1.5","2.5",1379,"-0.001",".003","0.3","1.0",1072,"-0.002","0.006",8,"-0.007","0.184","0","0"
"70378","592200","Curt Casali",32,"SF",64,2072,7929,"1.1","1.3",3300,"0.003",".008","1.5","3.5",2289,"0",".002","-0.2","1.4",1616,"-0.002","0.005",13,"0","0.162","0","1.3"
"106420","664850","Patrick Mazeika",27,"NYM",24,693,2641,"1.9","1.2",1061,"0.008",".011","1.2","1.7",773,"0",".004","-0.1","0.7",535,"0","0.008",8,"0.001","0.196","0","1.0"
"102593","641598","Mitch Garver",30,"MIN",59,1920,7509,"0.5","1.0",3059,"0.002",".007","0.9","3.1",2205,"0",".002","-0.1","1.3",1630,"-0.001","0.005",22,"0.005","0.113","0.1","1.6"
"70619","608348","Carson Kelly",26,"ARI",91,3087,11892,"1.6","0.8",5195,"0.001",".006","0.7","4.7",3598,"0",".002","0.1","1.6",2793,"0","0.004",33,"0.001","0.099","0","2.1"
"103405","643376","Danny Jansen",26,"TOR",69,2036,8117,"0.5","0.8",3563,"0.001",".008","0.6","3.8",2508,"0",".002","0.2","1.3",1900,"0","0.004",19,"-0.001","0.135","0","0"
"70926","605244","Aramis Garcia",28,"OAK",30,976,3737,"0.8","0.7",1560,"0.005",".011","1.0","2.3",1157,"0.001",".003","-0.3","1.0",925,"0","0.005",11,"-0.005","0.174","0","0.1"
"66017","547172","Tony Wolters",29,"CHC",8,246,973,"0.8","0.6",442,"0.010",".019","0.6","1.2",350,"0",".006","0","0.5",249,"0.002","0.015",6,"0.008","0.221","0","0.8"
"68908","595284","Andrew Knapp",29,"PHI",47,1372,5347,"0.4","0.6",2296,"0.004",".008","1.2","2.7",1517,"0.001",".003","-0.3","0.9",1114,"0.001","0.006",17,"0.019","0.140","-0.2","1.5"
"101631","624513","Dom Nuñez",26,"COL",77,2695,10236,"0.4","0.6",4336,"0.001",".007","0.5","4.5",3301,"0",".002","-0.1","1.7",2404,"0.002","0.004",32,"-0.002","0.107","0.1","0.3"
"67369","593590","Webster Rivas",30,"SD",24,746,2876,"0.4","0.6",1204,"0.003",".012","0.5","2.1",941,"0",".004","0","1.0",736,"0.001","0.007",8,"0.011","0.184","0.1","0.9"
