"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"70397","595978","Austin Hedges",26,"SD",95,3437,13488,"28.4","27.3",5837,"0.032",".006","26.3","5.1",3936,"-0.001",".002","1.5","0",1489,"-0.001","0.005",25,"-0.004","0.123","-0.5","0"
"59467","547379","Roberto Pérez",30,"CLE",118,4152,16305,"16.2","16.4",6864,"0.008",".007","7.9","6.4",4801,"-0.007",".002","8.8","0",1921,"-0.001","0.004",29,"-0.011","0.117","-0.3","0"
"58548","457763","Buster Posey",32,"SF",101,3548,13868,"16.5","15.8",6160,"0.015",".006","13.1","4.9",3821,"-0.002",".002","2.2","0",1667,"0.003","0.005",54,"-0.041","0.094","0.5","0.3"
"65870","518735","Yasmani Grandal",30,"MIL",137,4685,18740,"11.9","13.2",8094,"0.010",".005","11.3","6.2",5397,"-0.001",".001","1.8","0",2319,"0.001","0.005",66,"0","0.080","0","0.4"
"103405","643376","Danny Jansen",24,"TOR",103,3715,14805,"11.5","12.6",6358,"0.012",".006","10.6","5.2",4538,"-0.002",".002","2.1","0",1893,"-0.001","0.004",37,"0.001","0.104","-0.1","0.1"
"67084","592663","J.T. Realmuto",28,"PHI",133,4937,19208,"10.1","10.7",8373,"0.005",".005","5.4","6.2",5595,"-0.003",".002","4.8","0",2343,"0.002","0.004",60,"-0.081","0.093","0.5","0.3"
"52532","452095","Tyler Flowers",33,"ATL",83,2972,11730,"10.3","10.6",5077,"0.020",".006","14.3","4.5",3661,"0.004",".002","-3.8","0",1498,"0.002","0.005",35,"0.014","0.103","0.1","0.3"
"59592","571466","Tucker Barnhart",28,"CIN",102,3267,13047,"10.7","9.7",5368,"0.008",".006","5.8","4.5",3610,"-0.005",".002","4.9","0",1576,"-0.001","0.005",37,"0","0.100","-1.0","0"
"69513","605131","Austin Barnes",29,"LAD",64,2120,8092,"8.8","9.2",3268,"0.018",".008","8.3","3.7",2131,"-0.001",".002","0.7","0",874,"-0.001","0.006",15,"0.028","0.141","0.2","0.1"
"71213","607732","Jacob Stallings",29,"PIT",61,1987,7741,"10.3","9.2",3093,"0.012",".009","5.0","3.7",2209,"-0.006",".002","3.6","0",877,"-0.001","0.007",14,"-0.038","0.171","0.6","0"
"48685","444489","Manny Piña",32,"MIL",53,1529,6204,"8.5","8.5",2597,"0.017",".009","6.3","3.2",1839,"-0.004",".002","2.0","0",843,"0.001","0.007",22,"0.004","0.132","0.2","0.2"
