"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"57191","518960","Jonathan Lucroy",24,"MIL",75,2815,10941,"29.5","28.4",4931,"0.038",".007","26.2","4.8",3489,"-0.002",".002","2.2","0",1336,"-0.001","0.006",38,"-0.007","0.099","0","0"
"45449","435263","Brian McCann",26,"ATL",136,4700,17986,"28.0","26.6",8190,"0.018",".006","21.2","7.5",5373,"-0.004",".002","5.7","0",2356,"0","0.005",85,"0.003","0.068","-0.3","0.2"
"31391","425877","Yadier Molina",27,"STL",135,4735,17815,"16.6","15.2",8351,"0.009",".007","10.5","8.1",5228,"-0.003",".002","4.6","0",2153,"-0.002","0.005",41,"-0.045","0.110","0.1","0"
"894","150040","José Molina",35,"TOR",56,1870,7316,"14.6","15.0",3496,"0.036",".009","17.4","4.5",2231,"0.005",".003","-2.8","0",936,"0","0.007",23,"-0.030","0.135","0.4","0.2"
"43102","434567","Geovany Soto",27,"CHC",104,3712,14165,"12.5","14.1",6570,"0.013",".007","11.8","6.4",4409,"-0.002",".002","2.3","0",1962,"0","0.006",69,"-0.001","0.076","0","0.3"
"476","150275","Yorvit Torrealba",31,"SD",92,3259,12656,"12.6","13.3",5942,"0.013",".009","10.9","7.3",3505,"-0.003",".002","2.4","0",1515,"0","0.006",45,"-0.012","0.099","0","0.3"
"379","424325","David Ross",33,"ATL",57,1348,5232,"13.0","12.2",2442,"0.033",".010","11.4","3.3",1521,"-0.002",".003","0.9","0",725,"-0.001","0.008",21,"-0.003","0.138","0","0"
"36585","452672","Ryan Hanigan",29,"CIN",68,2155,8299,"10.7","11.4",3840,"0.019",".009","10.2","4.6",2314,"-0.002",".002","1.2","0",1021,"0","0.007",26,"0.016","0.122","0","0.1"
"58548","457763","Buster Posey",23,"SF",76,2735,10327,"10.4","9.9",4638,"0.013",".009","8.8","5.5",2902,"-0.002",".002","1.1","0",1167,"0.001","0.007",49,"-0.020","0.096","0","0.3"
"1291","121358","Ivan Rodriguez",38,"WSH",102,3832,14710,"12.3","9.2",7024,"0.005",".007","4.6","6.7",4544,"-0.004",".002","4.6","0",1981,"-0.001","0.004",43,"-0.016","0.095","-0.1","0"
"43032","430965","Chris Snyder",29,"PIT",101,3756,14156,"8.7","8.4",6564,"0.007",".007","6.7","6.2",4404,"-0.001",".002","1.6","0",1844,"0","0.006",61,"0.008","0.079","0","0.3"
"49102","461874","Craig Tatum",27,"BAL",42,1347,5213,"9.2","8.0",2503,"0.020",".009","7.1","3.2",1582,"-0.002",".003","0.8","0",692,"0","0.009",20,"0.013","0.135","0","0.2"
"52","124748","Gregg Zaun",39,"MIL",28,1095,4310,"6.7","7.2",2045,"0.020",".011","5.6","3.3",1428,"-0.004",".003","1.6","0",576,"0","0.008",18,"0.016","0.139","0","0.1"
"790","280061","Corky Miller",34,"CIN",32,782,3037,"6.9","7.2",1436,"0.035",".012","7.0","2.5",762,"-0.001",".003","0.1","0",357,"0","0.010",9,"-0.003","0.192","0","0"
"44700","434630","Eli Whiteside",30,"SF",55,1487,5864,"6.1","6.3",2810,"0.017",".010","6.8","3.9",1986,"0.001",".003","-0.5","0",813,"0.001","0.008",27,"-0.007","0.125","0","0.2"
"11429","408242","Wil Nieves",32,"WSH",51,1712,6292,"6.8","5.7",2870,"0.009",".009","3.5","3.8",1868,"-0.004",".002","2.0","0",860,"0","0.007",28,"0.015","0.108","0.2","0.2"
"1105","400121","Victor Martinez",31,"BOS",110,3883,14954,"4.6","5.2",7121,"0.005",".007","4.9","7.1",4533,"0",".002","-0.4","0",1981,"0.001","0.006",89,"0.021","0.069","0.7","0.4"
"57712","446308","Matt Wieters",24,"BAL",126,4623,17602,"4.1","5.0",8097,"0.001",".006","1.1","7.3",5192,"-0.003",".001","4.2","0",2359,"0","0.005",59,"-0.018","0.082","-0.3","0"
"45447","431145","Russell Martin",27,"LAD",93,3385,12990,"3.8","4.6",5936,"0.004",".007","3.7","6.2",3919,"0",".002","0.5","0",1674,"0.001","0.006",52,"-0.019","0.090","0.5","0.3"
"1501","150229","A.J. Pierzynski",33,"CWS",127,4650,17608,"2.0","3.7",7945,"0.005",".007","5.6","7.7",4994,"0.002",".002","-2.3","0",2207,"0","0.004",74,"-0.017","0.074","0.4","0.3"
"49220","435064","Bobby Wilson",27,"LAA",38,1117,4441,"3.1","3.5",2102,"0.009",".010","2.8","3.1",1309,"-0.002",".003","0.7","0",600,"0","0.009",25,"0.001","0.112","0","0.2"
"49829","467092","Wilson Ramos",22,"WSH",22,805,2946,"3.1","3.0",1379,"0.016",".012","3.1","2.3",809,"0",".004","0","0",355,"0","0.009",8,"-0.008","0.202","0","0.1"
"39835","471083","Miguel Montero",26,"ARI",79,2839,10655,"3.3","2.7",4951,"0.008",".008","5.5","5.3",3132,"0.004",".002","-2.9","0",1410,"-0.001","0.007",49,"-0.005","0.083","0.2","0"
"497","135783","Ramon Castro",34,"CWS",34,1204,4613,"2.8","2.6",2057,"0.008",".010","2.4","2.8",1328,"-0.001",".003","0.2","0",634,"0","0.009",22,"-0.005","0.140","0","0"
"419","150411","Brian Schneider",33,"PHI",46,1432,5381,"1.9","2.6",2562,"0.007",".010","2.4","3.6",1505,"0",".002","0.2","0",653,"0","0.009",29,"0.012","0.111","0","0.2"
"47575","460269","Chris Gimenez",27,"CLE",24,739,2839,"2.4","2.4",1336,"0.015",".014","2.8","2.6",897,"0.002",".003","-0.5","0",402,"0.001","0.012",19,"0.002","0.132","0","0.2"
"40947","430910","Brayan Peña",28,"KC",47,1492,5785,"2.6","2.2",2669,"0.006",".010","2.2","3.7",1762,"0",".002","0","0",779,"0","0.008",26,"-0.008","0.117","0","0.2"
"38161","456124","Erik Kratz",30,"PIT",9,331,1253,"2.2","2.1",572,"0.026",".018","2.1","1.4",341,"0",".005","0","0",151,"0","0.016",4,"-0.009","0.307","0","0.1"
"3","110385","Brad Ausmus",41,"LAD",21,721,2806,"1.2","1.5",1320,"0.003",".013","0.6","2.4",916,"-0.004",".003","0.9","0",382,"0.001","0.011",15,"0.018","0.140","0","0.1"
"1549","400018","Miguel Olivo",31,"COL",111,3935,15080,"1.2","1.4",6877,"0.003",".007","2.4","6.5",4373,"0.001",".002","-1.1","0",1908,"0","0.005",58,"-0.034","0.094","0.1","0.3"
