"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"894","150040","José Molina",33,"NYY",97,3078,11777,"33.6","33.7",5551,"0.044",".007","33.9","5.8",3433,"0",".002","-0.4","0",1478,"0.001","0.006",52,"-0.033","0.094","0.2","0.3"
"45449","435263","Brian McCann",24,"ATL",138,4914,18737,"26.9","21.5",8688,"0.016",".007","19.6","8.1",5494,"-0.001",".001","1.5","0",2558,"0.002","0.005",94,"0.011","0.062","0.4","0.4"
"31391","425877","Yadier Molina",25,"STL",119,4329,16385,"19.4","20.0",7460,"0.016",".007","16.4","7.5",4807,"-0.002",".002","2.3","0",2276,"-0.004","0.005",32,"-0.016","0.105","1.4","0"
"34180","400120","Chris Coste",35,"PHI",78,2624,9809,"18.4","19.9",4514,"0.027",".008","17.1","5.0",2861,"-0.003",".002","2.7","0",1309,"0.002","0.007",47,"0.005","0.092","0.1","0.3"
"45447","431145","Russell Martin",25,"LAD",149,5228,19907,"16.9","17.6",8913,"0.009",".006","11.7","7.6",5613,"-0.004",".001","6.1","0",2429,"0.001","0.005",70,"-0.011","0.080","-0.2","0.4"
"419","150411","Brian Schneider",31,"NYM",109,3822,14997,"16.2","15.5",6947,"0.018",".007","17.5","6.8",4434,"0.001",".002","-2.0","0",2100,"-0.001","0.005",47,"-0.010","0.090","0","0"
"31602","425772","Jeff Mathis",25,"LAA",94,3329,12654,"17.1","15.5",5739,"0.013",".008","10.2","6.2",3495,"-0.005",".002","5.6","0",1546,"0.002","0.007",58,"-0.007","0.083","-0.3","0.3"
"379","424325","David Ross",31,"BOS",54,1789,6950,"14.4","13.5",3172,"0.026",".009","11.5","4.2",2181,"-0.003",".002","2.4","0",978,"-0.002","0.007",24,"-0.002","0.116","-0.3","0"
"114","132720","Paul Bako",36,"CIN",96,3375,13182,"10.0","10.9",6105,"0.012",".007","10.0","6.1",4169,"-0.001",".002","0.7","0",1926,"-0.001","0.005",53,"0.007","0.084","0.2","0.1"
"280","150148","Rod Barajas",32,"TOR",98,3271,12355,"6.3","7.2",5528,"0.005",".007","3.9","5.7",3425,"-0.003",".002","3.2","0",1601,"-0.004","0.006",40,"-0.011","0.099","0.1","0"
