"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"58548","457763","Buster Posey",29,"SF",123,4403,17080,"28.9","27.3",7180,"0.025",".006","25.0","6.2",4830,"-0.002",".001","2.0","0",2017,"0","0.005",48,"-0.020","0.095","0.2","0.3"
"65870","518735","Yasmani Grandal",27,"LAD",115,3944,15922,"29.4","26.6",6748,"0.028",".006","26.1","5.8",4486,"0",".002","0.3","0",1748,"0","0.005",54,"-0.012","0.093","0.2","0.3"
"45447","431145","Russell Martin",33,"TOR",127,4439,16778,"17.2","17.0",7052,"0.017",".006","16.9","6.3",4733,"0",".002","0.1","0",1902,"0","0.005",48,"0.017","0.090","0","0.1"
"58831","488771","Jason Castro",29,"HOU",111,3846,14985,"15.5","15.5",6460,"0.017",".007","15.4","6.1",4615,"0",".002","0","0",1814,"-0.001","0.005",41,"0.018","0.102","0.2","0.1"
"58767","543877","Christian Vázquez",25,"BOS",56,1860,7200,"13.0","12.7",3095,"0.030",".008","13.1","3.6",2086,"0.002",".002","-0.8","0",900,"0","0.006",18,"0.001","0.149","0.4","0.2"
"31391","425877","Yadier Molina",33,"STL",146,5182,19755,"11.5","12.6",8762,"0.009",".006","10.8","7.0",5999,"-0.001",".001","1.6","0",2476,"-0.003","0.004",48,"0.005","0.098","0.2","0.1"
"52532","452095","Tyler Flowers",30,"ATL",81,2957,11351,"11.6","12.4",4797,"0.019",".008","12.8","5.2",3357,"0.001",".002","-0.8","0",1367,"0.001","0.006",42,"0.072","0.092","0.3","0.3"
"45449","435263","Brian McCann",32,"NYY",92,3180,12440,"11.2","11.7",5231,"0.012",".008","8.9","5.6",3612,"-0.003",".002","2.7","0",1510,"0.001","0.005",45,"-0.018","0.099","0","0.2"
"57013","519083","Derek Norris",27,"SD",116,4239,16467,"12.5","11.7",7236,"0.011",".006","11.3","6.3",5030,"0",".002","0.2","0",2105,"-0.001","0.005",65,"0.057","0.077","0.1","0.2"
"45844","465041","Francisco Cervelli",30,"PIT",95,3493,13321,"12.9","11.0",5418,"0.017",".007","12.7","5.3",4035,"0.002",".002","-1.9","0",1737,"0.001","0.006",60,"0.024","0.082","0.3","0.3"
"39835","471083","Miguel Montero",32,"CHC",71,2270,8734,"10.1","10.8",3619,"0.024",".009","12.2","4.4",2532,"0.003",".002","-1.8","0",1002,"0.003","0.008",48,"0.060","0.085","0.4","0.3"
"66017","547172","Tony Wolters",24,"COL",59,2178,8343,"9.4","10.1",3456,"0.021",".008","10.3","3.8",2536,"0",".002","-0.1","0",1019,"0","0.006",27,"-0.019","0.126","0","0.2"
"31602","425772","Jeff Mathis",33,"MIA",38,1281,5074,"10.7","10.0",2194,"0.029",".010","9.0","3.0",1508,"-0.002",".003","0.8","0",580,"0.002","0.008",25,"-0.007","0.129","0.2","0.1"
"55784","518595","Travis d'Arnaud",27,"NYM",73,2648,10311,"10.0","9.1",4316,"0.013",".007","7.9","4.4",3054,"-0.001",".002","1.0","0",1235,"0.003","0.007",59,"0.028","0.086","0.2","0.3"
"48082","455117","Martín Maldonado",29,"MIL",69,2408,9299,"8.5","8.7",4170,"0.013",".007","7.5","4.4",2858,"-0.002",".002","1.3","0",1195,"-0.001","0.007",39,"-0.073","0.112","0","0"
"41774","425784","René Rivera",32,"NYM",59,1945,7617,"9.5","7.7",3248,"0.018",".009","8.3","4.0",2119,"0.001",".002","-0.6","0",823,"-0.001","0.011",41,"-0.012","0.104","0","0"
"59467","547379","Roberto Pérez",27,"CLE",61,1868,7262,"7.6","7.7",3154,"0.014",".009","6.0","3.8",2050,"-0.003",".002","1.3","0",893,"0","0.006",17,"-0.032","0.167","0.4","0.2"
"58842","543376","Caleb Joseph",30,"BAL",48,1533,6162,"7.3","6.7",2683,"0.014",".009","5.4","3.2",1953,"-0.003",".002","1.3","0",811,"0","0.007",23,"-0.006","0.133","0","0.2"
"379","424325","David Ross",39,"CHC",58,1758,6988,"6.3","6.1",3064,"0.010",".010","4.4","4.2",1958,"-0.005",".002","2.1","0",763,"0.002","0.011",48,"0.009","0.100","-0.4","0.3"
"46730","489365","Josh Thole",29,"TOR",50,1461,5620,"5.8","5.9",2318,"0.010",".009","3.2","3.1",1723,"-0.007",".004","2.6","0",736,"0.001","0.006",16,"0.013","0.149","0","0.2"
"49829","467092","Wilson Ramos",28,"WSH",128,4506,17735,"3.3","4.8",7396,"0.006",".006","6.0","6.4",4895,"0.001",".002","-1.2","0",1984,"-0.003","0.005",30,"0.015","0.117","0","0.1"
"100316","608700","Kevin Plawecki",25,"NYM",45,1474,5693,"4.3","4.7",2350,"0.011",".010","3.7","3.3",1558,"-0.003",".003","0.9","0",600,"0.001","0.009",27,"0.023","0.119","0","0.2"
"99903","572287","Mike Zunino",25,"SEA",52,1822,6983,"4.0","4.5",2968,"0.006",".009","2.7","3.7",1890,"-0.004",".003","1.6","0",754,"0","0.007",19,"-0.019","0.143","0.2","0"
"66719","575929","Willson Contreras",24,"CHC",57,1639,6607,"4.2","4.4",2842,"0.008",".009","3.2","3.4",1921,"-0.003",".003","1.4","0",823,"0.001","0.008",25,"-0.042","0.126","-0.2","0.2"
"47910","446653","Jose Lobaton",31,"WSH",38,1172,4519,"3.9","4.0",1843,"0.014",".011","3.7","2.8",1424,"-0.001",".003","0.3","0",558,"0.001","0.009",14,"-0.003","0.165","0","0.1"
"59074","542208","Carlos Pèrez",25,"LAA",82,2882,11154,"6.8","4.0",4871,"0.003",".007","2.2","4.9",3385,"-0.002",".002","1.3","0",1459,"-0.001","0.006",36,"-0.002","0.106","0.6","0"
"57191","518960","Jonathan Lucroy",30,"TEX",126,4583,17473,"2.7","4.0",7506,"0.002",".006","2.0","6.1",5277,"-0.001",".001","1.8","0",2143,"0.002","0.005",79,"-0.040","0.078","0.2","0.3"
"57712","446308","Matt Wieters",30,"BAL",117,4145,16514,"3.8","3.3",7075,"0.002",".007","1.8","6.6",4757,"-0.001",".002","1.0","0",2031,"-0.001","0.005",41,"-0.034","0.109","0.6","0"
"49220","435064","Bobby Wilson",33,"TB",75,2648,10391,"1.8","3.2",4537,"0.002",".006","1.5","4.0",3087,"-0.002",".002","1.6","0",1332,"0","0.005",33,"0.025","0.104","0","0.1"
"69158","542908","Jett Bandy",26,"LAA",68,2258,8760,"2.9","2.8",3698,"0.003",".008","1.3","4.0",2550,"-0.002",".002","1.5","0",1101,"0.001","0.007",35,"-0.056","0.122","0","0.2"
"70378","592200","Curt Casali",27,"TB",76,2383,9396,"0","1.2",4002,"0.004",".008","2.3","4.3",2793,"0.002",".002","-1.3","0",1072,"-0.001","0.006",21,"-0.006","0.131","0.2","0"
"100036","571912","Luke Maile",25,"TB",37,1254,4947,"0.9","1.1",2080,"0.003",".010","0.8","3.0",1416,"0",".003","0.1","0",517,"0.001","0.008",15,"0.002","0.156","0.2","0.1"
