"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"65870","518735","Yasmani Grandal",31,"CWS",32,1200,4830,"5.3","4.3",2162,"0.013",".010","3.8","3.0",1551,"-0.001","0","0.3","0",619,"0","0.006",6,"-0.017","0.219","0.2","0"
"66068","553882","Omar Narváez",28,"MIL",39,1200,4886,"3.6","4.0",2144,"0.013",".009","3.8","2.9",1559,"0","0","0.1","0",667,"0","0.007",13,"0","0.155","0.2","0.1"
"71213","607732","Jacob Stallings",30,"PIT",42,1507,6186,"5.3","4.0",2693,"0.008",".009","2.9","3.4",2037,"-0.002","0","1.1","0",773,"-0.001","0.006",16,"-0.001","0.135","-0.1","0"
"55784","518595","Travis d'Arnaud",31,"ATL",35,1318,5251,"2.6","3.6",2305,"0.012",".010","3.7","3.2",1705,"0","0","-0.2","0",654,"-0.001","0.007",20,"0.014","0.123","0","0.1"
"59592","571466","Tucker Barnhart",29,"CIN",36,1151,4801,"3.2","3.4",2107,"0.009",".010","2.6","2.9",1566,"-0.002","0","0.8","0",589,"0","0.007",12,"-0.021","0.167","0","0"
"70619","608348","Carson Kelly",25,"ARI",38,1284,4964,"3.7","3.3",2259,"0.010",".010","3.3","3.1",1512,"0","0","0","0",576,"0","0.008",12,"0.015","0.157","0","0.2"
"66719","575929","Willson Contreras",28,"CHC",41,1362,5378,"2.4","3.0",2366,"0.008",".009","2.6","3.0",1637,"-0.001","0","0.4","0",712,"-0.001","0.007",16,"-0.018","0.152","0","0"
"67084","592663","J.T. Realmuto",29,"PHI",36,1284,5047,"2.4","2.9",2222,"0.007",".009","2.2","3.0",1639,"-0.001","0","0.6","0",675,"0","0.007",12,"0.015","0.160","0","0.1"
"58767","543877","Christian Vázquez",29,"BOS",42,1587,6333,"3.7","2.7",2840,"0.008",".009","3.2","3.5",2140,"0","0","0","0",950,"0","0.006",19,"0.011","0.129","-0.5","0.1"
"69513","605131","Austin Barnes",30,"LAD",28,973,3848,"2.8","2.7",1588,"0.012",".011","2.8","2.5",1078,"0","0","0","0",425,"-0.001","0.008",11,"0","0.169","0","0.1"
"70397","595978","Austin Hedges",27,"CLE",34,900,3556,"3.2","2.7",1574,"0.011",".010","2.4","2.2",1129,"-0.002","0","0.6","0",451,"0","0.008",10,"-0.019","0.188","-0.3","0"
"70317","543510","James McCann",30,"CWS",30,999,4053,"2.8","2.7",1612,"0.012",".011","2.7","2.5",1154,"0","0","0","0",455,"0","0.008",7,"-0.010","0.223","0","0.1"
"71054","543592","Austin Nola",30,"SD",44,1411,5714,"2.7","2.5",2622,"0.005",".008","1.8","3.0",1812,"-0.001","0","0.6","0",677,"0.001","0.007",21,"0.005","0.122","0","0.2"
"59431","545358","Max Stassi",29,"LAA",31,1016,4049,"2.8","2.0",1722,"0.007",".011","1.7","2.6",1253,"-0.001","0","0.3","0",464,"0.002","0.010",25,"-0.003","0.121","0","0.1"
"59467","547379","Roberto Pérez",31,"CLE",32,1032,4053,"1.4","1.7",1677,"0.005",".012","1.1","2.7",1197,"-0.002","0","0.5","0",463,"0","0.008",5,"-0.032","0.285","0.2","0"
"57969","543309","Kyle Higashioka",30,"NYY",14,440,1794,"1.7","1.7",705,"0.016",".014","1.6","1.4",473,"-0.001","0","0.1","0",172,"0","0.013",3,"-0.016","0.301","0","0"
"100659","621532","Anthony Bemboom",30,"LAA",20,618,2456,"1.3","1.6",1093,"0.011",".013","1.7","1.9",809,"0","0","-0.1","0",323,"0.001","0.011",8,"-0.012","0.211","0","0.1"
"101621","624431","Jose Trevino",27,"TEX",21,665,2650,"1.6","1.6",1209,"0.008",".013","1.4","2.2",874,"0","0","0","0",352,"0","0.010",10,"0.009","0.173","0.2","0.1"
"56945","519390","Stephen Vogt",35,"ARI",23,732,2961,"1.2","1.6",1310,"0.008",".012","1.5","2.2",873,"-0.001","0","0.1","0",321,"0.002","0.012",13,"-0.003","0.156","0","0.1"
"103625","644433","Chadwick Tromp",25,"SF",23,700,2756,"1.5","1.6",1219,"0.010",".012","1.7","2.1",859,"0","0","-0.1","0",380,"0","0.009",3,"0.011","0.330","0","0"
"48685","444489","Manny Piña",33,"MIL",13,425,1750,"1.9","1.5",794,"0.013",".014","1.4","1.5",597,"0","0","0.1","0",236,"-0.001","0.013",6,"-0.019","0.248","0","0"
