"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"57191","518960","Jonathan Lucroy",25,"MIL",132,4361,17103,"36.9","39.0",7658,"0.038",".007","40.7","7.5",5169,"0.001",".002","-1.7","0",2117,"0","0.005",74,"-0.001","0.076","0","0.3"
"45449","435263","Brian McCann",27,"ATL",126,4565,17653,"38.8","35.6",7910,"0.029",".006","31.9","6.8",5268,"-0.002",".002","3.5","0",2189,"0.003","0.006",95,"0.013","0.065","0.3","0.4"
"45447","431145","Russell Martin",28,"NYY",125,4435,16771,"30.9","31.4",7584,"0.030",".007","31.9","7.1",4937,"0",".002","0.4","0",2000,"0.002","0.006",101,"-0.014","0.065","-0.9","0.4"
"49829","467092","Wilson Ramos",23,"WSH",108,4038,14759,"26.1","27.5",6502,"0.029",".007","26.2","6.8",4127,"-0.001",".002","1.3","0",1791,"-0.001","0.006",58,"0.002","0.085","0","0.1"
"36585","452672","Ryan Hanigan",30,"CIN",89,2906,10957,"18.8","20.8",4807,"0.029",".008","19.2","5.2",3028,"-0.002",".002","1.4","0",1352,"-0.001","0.006",37,"-0.017","0.106","0.2","0"
"31391","425877","Yadier Molina",28,"STL",137,4896,18078,"19.6","19.7",8078,"0.013",".007","14.8","7.5",5284,"-0.003",".002","4.3","0",2130,"-0.004","0.005",50,"0","0.092","0.6","0.1"
"43102","434567","Geovany Soto",28,"CHC",122,4503,17250,"22.1","19.0",7608,"0.015",".006","16.5","6.9",5173,"-0.002",".001","2.5","0",2246,"0","0.005",85,"-0.006","0.075","0","0"
"44700","434630","Eli Whiteside",31,"SF",81,2409,9279,"15.0","15.7",4218,"0.027",".008","15.7","4.7",2612,"0",".002","-0.2","0",1090,"0.003","0.008",56,"0.009","0.082","0.1","0.3"
"39835","471083","Miguel Montero",27,"ARI",134,4903,18513,"14.4","12.6",8249,"0.011",".007","13.0","7.7",5317,"0",".001","0.4","0",2462,"-0.003","0.005",52,"-0.019","0.098","-0.9","0"
"894","150040","José Molina",36,"TOR",48,1697,6618,"9.9","11.2",3043,"0.032",".009","13.5","4.0",1994,"0.004",".002","-2.7","0",925,"-0.002","0.007",21,"0","0.137","0.4","0.1"
"379","424325","David Ross",34,"ATL",49,1575,6031,"10.8","10.0",2522,"0.025",".009","8.9","3.2",1803,"-0.002",".003","0.9","0",767,"-0.003","0.009",21,"-0.014","0.130","0.2","0"
"43258","455755","Chris Stewart",29,"SF",63,1930,7619,"10.4","9.4",3465,"0.018",".009","8.8","4.2",2377,"-0.002",".002","1.1","0",998,"0","0.009",40,"-0.018","0.106","-0.6","0.3"
"49102","461874","Craig Tatum",28,"BAL",30,1100,4195,"7.9","8.0",1941,"0.021",".011","5.8","3.0",1325,"-0.005",".003","1.9","0",562,"0.002","0.009",21,"-0.010","0.134","0.2","0.2"
"47301","449786","Carlos Corporán",27,"HOU",50,1764,6921,"8.0","7.9",3063,"0.019",".009","8.0","3.7",2035,"0",".002","-0.2","0",879,"0.001","0.007",43,"-0.001","0.092","0","0.2"
"58548","457763","Buster Posey",24,"SF",41,1506,5908,"7.2","7.4",2623,"0.020",".010","7.5","3.6",1764,"-0.001",".002","0.3","0",779,"0","0.009",33,"-0.010","0.108","-0.5","0.2"
"45844","465041","Francisco Cervelli",25,"NYY",41,1340,5030,"7.3","7.3",2330,"0.022",".011","7.3","3.5",1575,"-0.001",".002","0.5","0",640,"0","0.009",19,"0.022","0.147","-0.5","0.1"
"40947","430910","Brayan Peña",29,"KC",69,2325,9004,"5.6","7.1",4184,"0.011",".008","6.3","4.6",2697,"-0.001",".002","0.7","0",1210,"0.001","0.007",50,"-0.008","0.095","0.1","0.2"
"1501","150229","A.J. Pierzynski",34,"CWS",120,4283,16166,"5.3","6.2",7212,"0.008",".007","8.0","6.9",4676,"0.001",".002","-1.9","0",2070,"0","0.005",80,"0.022","0.073","0.1","0.2"
"419","150411","Brian Schneider",34,"PHI",40,1250,4754,"5.5","5.6",2322,"0.017",".011","5.6","3.6",1364,"0",".002","0","0",631,"0.001","0.010",21,"0.010","0.129","0","0.2"
"47634","435520","Jesus Flores",26,"WSH",22,824,3184,"4.9","5.4",1402,"0.026",".013","5.2","2.5",816,"-0.001",".004","0.2","0",331,"0.001","0.013",16,"0.004","0.150","0","0.2"
"41774","425784","René Rivera",27,"MIN",44,1274,4767,"5.7","5.2",2168,"0.015",".010","4.7","3.0",1350,"-0.001",".003","0.5","0",555,"-0.001","0.009",18,"-0.008","0.154","0","0"
"476","150275","Yorvit Torrealba",32,"TEX",98,3510,13647,"5.1","5.0",6352,"0.005",".007","4.3","6.6",3928,"-0.001",".002","0.8","0",1732,"0.001","0.006",57,"-0.014","0.085","0","0.3"
"46730","489365","Josh Thole",24,"NYM",102,3459,12879,"6.7","4.9",5780,"0.004",".007","3.2","5.5",3893,"-0.001",".002","1.7","0",1673,"0.001","0.006",61,"-0.002","0.080","0.1","0.3"
"31602","425772","Jeff Mathis",28,"LAA",91,2866,11210,"4.6","4.4",5005,"0.005",".008","3.2","5.7",3024,"-0.001",".002","1.0","0",1262,"-0.001","0.007",46,"0.009","0.089","0.2","0.1"
"57712","446308","Matt Wieters",25,"BAL",132,4971,19162,"7.4","4.4",8898,"-0.002",".007","-2.5","8.3",5588,"-0.004",".001","6.7","0",2504,"-0.003","0.005",57,"-0.004","0.089","0.2","0"
"47910","446653","Jose Lobaton",26,"TB",14,350,1413,"4.1","4.1",691,"0.036",".015","3.5","1.5",370,"-0.005",".005","0.6","0",124,"0.001","0.019",7,"0.006","0.226","0","0.1"
"52532","452095","Tyler Flowers",25,"CWS",31,1079,4335,"3.5","3.9",1907,"0.015",".011","4.0","3.0",1244,"0.001",".003","-0.2","0",555,"0.002","0.010",24,"-0.011","0.123","0","0.2"
"48610","444351","Kyle Phillips",27,"SD",24,725,2760,"2.9","3.1",1259,"0.021",".013","3.7","2.2",809,"0.001",".003","-0.3","0",365,"0.001","0.012",19,"0.007","0.137","-0.3","0.2"
"49755","474233","Hank Conger",23,"LAA",56,1914,7246,"1.7","2.2",3261,"0.003",".010","1.5","4.5",2145,"-0.002",".002","1.4","0",866,"0.003","0.009",47,"0.009","0.093","-0.7","0.3"
"47575","460269","Chris Gimenez",28,"SEA",20,653,2482,"1.4","1.8",1161,"0.011",".013","1.7","2.1",686,"0",".004","0.1","0",294,"0","0.013",15,"0.002","0.150","0","0.1"
"46817","453525","J.R. Towles",27,"HOU",51,1602,6118,"2.5","1.5",2766,"0",".010","0","3.7",1773,"-0.003",".002","1.5","0",808,"0.001","0.008",32,"0.004","0.105","0","0.2"
"31726","431159","Kelly Shoppach",31,"TB",86,2601,9940,"0.5","1.3",4393,"-0.001",".009","-0.7","5.4",2663,"-0.002",".002","1.8","0",1221,"-0.002","0.006",25,"-0.016","0.130","0.2","0"
"497","135783","Ramon Castro",35,"CWS",21,728,2774,"0.5","1.2",1239,"0.007",".013","1.2","2.3",751,"0.001",".003","-0.2","0",347,"0","0.013",14,"-0.002","0.147","0.2","0"
"1291","121358","Ivan Rodriguez",39,"WSH",37,1279,4896,"1.1","1.1",2305,"0.003",".010","0.9","3.4",1525,"0",".003","0.2","0",708,"-0.002","0.008",12,"-0.028","0.198","0","0"
"49220","435064","Bobby Wilson",28,"LAA",47,1344,5027,"1.6","1.0",2265,"0",".011","0.1","3.4",1527,"-0.003",".003","1.4","0",628,"0","0.009",25,"0","0.120","-0.5","0.2"
"45454","458643","Jose Morales",28,"COL",17,627,2518,"0.5","0.8",1154,"0.010",".014","1.6","2.2",699,"0.004",".004","-0.8","0",299,"-0.001","0.013",9,"-0.001","0.198","0","0"
"11429","408242","Wil Nieves",33,"MIL",17,554,2068,"1.4","0.7",828,"0.003",".014","0.3","1.7",615,"-0.002",".004","0.4","0",261,"-0.001","0.012",9,"-0.002","0.192","0","0"
"41401","279827","Humberto Quintero",31,"HOU",77,2829,11032,"0.8","0.7",5071,"-0.005",".008","-3.6","5.7",3444,"-0.003",".002","3.3","0",1492,"-0.003","0.006",43,"0.019","0.100","1.0","0.1"
"39795","435238","Gustavo Molina",29,"NYY",3,78,291,"0.7","0.7",144,"0.025",".035","0.5","0.7",85,"-0.009",".010","0.2","0",38,"-0.001","0.032",1,"-0.008","0.592","0","0"
"46275","455113","Donny Lucy",28,"CWS",3,98,394,"0.5","0.6",181,"0.008",".033","0.2","0.8",146,"-0.008",".009","0.4","0",62,"0","0.018",1,"0",,"0","0"
"32953","400268","J.C. Boscan",31,"ATL",3,80,306,"0.5","0.5",141,"0.031",".037","0.6","0.7",95,"0.004",".008","-0.1","0",40,"0.001","0.036",2,"-0.011","0.408","0","0"
"56298","518700","Eric Fryer",25,"PIT",8,271,975,"0.3","0.3",366,"-0.001",".023","0","1.2",284,"-0.002",".007","0.2","0",128,"-0.001","0.022",6,"-0.006","0.257","0.2","0"
"58373","543432","Ryan Lavarnway",23,"BOS",8,113,445,"0.5","0.3",192,"0.002",".026","0.1","0.7",131,"-0.007",".007","0.3","0",68,"0","0.023",1,"-0.031","0.610","0","0"
"58899","488671","Alex Avila",24,"DET",133,4866,19006,"1.4","0.2",8802,"0.005",".007","6.8","8.5",5613,"0.004",".002","-6.7","0",2458,"0.002","0.005",90,"-0.016","0.073","0.1","0.4"
"46457","435081","Mike Nickeas",28,"NYM",20,607,2344,"0","0.2",845,"0.003",".017","0.3","2.0",680,"0.001",".005","-0.2","0",301,"0.001","0.012",11,"0.005","0.170","0","0.1"
"50170","502182","Steve Clevenger",25,"CHC",2,51,214,"0.1","0.2",89,"0.008",".040","0.1","0.5",55,"-0.003",".009","0","0",17,"-0.001","0.064",1,"-0.036","0.539","0","0"
