"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"48082","455117","Martín Maldonado",30,"LAA",137,4789,18843,"24.7","24.0",8690,"0.018",".006","22.4","7.9",5294,"-0.001",".002","1.0","0",2126,"0","0.005",57,"-0.040","0.091","0.6","0.3"
"70397","595978","Austin Hedges",24,"SD",115,4004,15548,"23.4","21.1",7027,"0.021",".006","20.8","6.4",4537,"-0.001",".002","1.3","0",1844,"0","0.005",48,"-0.026","0.090","-1.0","0.3"
"65870","518735","Yasmani Grandal",28,"LAD",117,4103,16377,"20.2","18.4",7062,"0.019",".007","19.3","6.9",4553,"0.001",".002","-1.4","0",1874,"-0.002","0.005",44,"-0.005","0.094","0.6","0"
"52532","452095","Tyler Flowers",31,"ATL",85,3264,12535,"16.4","17.5",5583,"0.023",".007","18.1","5.2",3763,"0.001",".002","-0.8","0",1635,"0","0.005",51,"-0.004","0.085","0.2","0"
"58842","543376","Caleb Joseph",31,"BAL",79,2653,10665,"18.2","17.5",4863,"0.020",".007","13.4","5.0",3112,"-0.004",".002","3.7","0",1374,"0.003","0.006",42,"0.008","0.091","0.3","0.3"
"59467","547379","Roberto Pérez",28,"CLE",71,2393,9757,"15.9","16.0",4463,"0.022",".007","13.7","4.6",2907,"-0.003",".002","2.2","0",1093,"-0.001","0.006",19,"-0.013","0.139","0","0"
"69513","605131","Austin Barnes",27,"LAD",55,1794,7128,"12.6","13.5",3044,"0.028",".009","11.9","4.0",1982,"-0.003",".002","1.6","0",785,"0","0.006",22,"-0.003","0.128","0","0"
"58767","543877","Christian Vázquez",26,"BOS",95,3292,13702,"10.9","13.1",6132,"0.013",".007","11.5","6.3",4134,"-0.001",".002","1.0","0",1871,"-0.001","0.004",31,"-0.029","0.112","0.6","0"
"58831","488771","Jason Castro",30,"MIN",108,3880,14764,"9.5","10.8",6625,"0.011",".006","10.6","5.8",4161,"0",".002","0.3","0",1815,"-0.002","0.005",37,"0.004","0.097","0","0.1"
"67084","592663","J.T. Realmuto",26,"MIA",126,4805,19168,"16.8","10.0",8801,"0.006",".006","7.8","7.1",5763,"-0.001",".001","1.7","0",2436,"-0.001","0.004",50,"-0.004","0.088","0.5","0"
"52461","456078","Welington Castillo",30,"BAL",88,3354,13651,"9.9","9.9",6238,"0.009",".007","8.0","5.9",4167,"-0.001",".002","1.3","0",1826,"-0.001","0.004",32,"-0.022","0.113","0.6","0"
"55784","518595","Travis d'Arnaud",28,"NYM",93,3407,13533,"11.6","9.4",6231,"0.010",".007","8.5","6.2",4044,"-0.001",".002","0.9","0",1737,"-0.001","0.005",44,"0.026","0.089","0","0.1"
"56945","519390","Stephen Vogt",32,"MIL",81,2494,9866,"7.2","8.2",4484,"0.010",".007","6.4","4.6",2909,"-0.002",".002","1.7","0",1214,"0.004","0.007",59,"0.012","0.076","0.1","0.3"
"33829","455139","Robinson Chirinos",33,"TEX",85,2995,11813,"6.2","6.9",5418,"0.006",".007","4.2","5.4",3504,"-0.002",".002","2.4","0",1496,"0.001","0.005",45,"-0.004","0.094","0.2","0.2"
"58548","457763","Buster Posey",30,"SF",99,3561,13640,"6.6","6.4",6178,"0.007",".007","5.9","5.9",3877,"0",".002","0.2","0",1713,"-0.002","0.005",38,"-0.034","0.106","0.4","0"
"31391","425877","Yadier Molina",34,"STL",133,4804,18878,"3.3","5.6",8765,"0.004",".006","5.2","7.4",5457,"0",".001","0.2","0",2338,"-0.004","0.005",32,"0.006","0.107","0.3","0.1"
"57520","519222","Austin Romine",28,"NYY",67,2200,8791,"6.3","5.6",3893,"0.011",".008","5.9","4.3",2605,"0",".002","-0.3","0",1001,"-0.001","0.005",21,"0.031","0.131","0","0.1"
