"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"31602","425772","Jeff Mathis",35,"ARI",63,2155,8692,"21.8","17.1",3831,"0.028",".008","14.9","4.1",2640,"-0.003",".002","2.3","0",1004,"-0.001","0.006",14,"-0.003","0.167","-0.1","0"
"70397","595978","Austin Hedges",25,"SD",83,3104,12042,"15.1","16.2",5538,"0.020",".007","15.6","5.6",3674,"0",".002","0.1","0",1521,"0.002","0.005",42,"-0.001","0.095","0.5","0.2"
"65870","518735","Yasmani Grandal",29,"LAD",135,4272,16816,"16.2","15.6",7065,"0.015",".006","15.3","6.0",4643,"-0.001",".002","0.8","0",1938,"0","0.005",42,"0.003","0.092","-0.5","0.1"
"57520","519222","Austin Romine",29,"NYY",76,2599,10494,"14.1","13.4",4686,"0.017",".007","11.0","4.7",3274,"-0.002",".002","2.2","0",1265,"0.005","0.007",41,"0.001","0.094","0.2","0.3"
"59431","545358","Max Stassi",27,"HOU",82,2418,9684,"11.7","11.7",4316,"0.019",".008","11.4","4.8",2767,"0",".002","0.1","0",1076,"0.003","0.006",31,"-0.002","0.105","0.1","0.2"
"60633","571974","John Ryan Murphy",27,"ARI",68,1924,7638,"12.6","11.5",3340,"0.025",".008","11.7","3.7",2450,"-0.001",".003","0.3","0",901,"-0.002","0.006",20,"-0.002","0.130","-0.5","0"
"52532","452095","Tyler Flowers",32,"ATL",76,2587,10295,"10.1","10.2",4701,"0.017",".007","11.0","4.3",3020,"0",".002","-0.4","0",1255,"0.003","0.006",42,"0.001","0.090","-0.4","0.3"
"99903","572287","Mike Zunino",27,"SEA",111,3827,14832,"9.3","9.8",6466,"0.012",".007","10.6","6.0",4071,"0.001",".002","-1.1","0",1647,"0","0.005",39,"-0.003","0.095","0.4","0"
"59467","547379","Roberto Pérez",29,"CLE",58,2003,7976,"8.8","9.3",3493,"0.016",".007","7.7","3.3",2400,"-0.002",".002","1.6","0",948,"0","0.007",24,"0.003","0.120","0","0.2"
"68062","595751","Jorge Alfaro",25,"PHI",104,3631,14249,"10.9","8.5",6527,"0.012",".005","10.9","4.8",4157,"0.002",".002","-2.4","0",1701,"0.002","0.006",51,"0.003","0.087","0.1","0.3"
"58899","488671","Alex Avila",31,"ARI",61,2042,8064,"7.3","7.9",3650,"0.015",".008","7.6","4.2",2301,"-0.001",".002","0.3","0",883,"0","0.007",22,"-0.011","0.126","0","0"
"100036","571912","Luke Maile",27,"TOR",66,2327,9173,"8.8","7.8",3980,"0.014",".008","7.7","4.3",2783,"0",".002","0.1","0",1138,"-0.002","0.007",32,"0.004","0.103","0","0.1"
"38161","456124","Erik Kratz",38,"MIL",61,2059,8285,"6.1","6.5",3742,"0.010",".008","5.1","4.1",2473,"-0.002",".002","1.3","0",1008,"0.002","0.007",30,"-0.004","0.117","0","0.2"
"69513","605131","Austin Barnes",28,"LAD",61,1807,7110,"6.9","6.4",2971,"0.013",".008","5.4","3.4",1970,"-0.002",".003","1.0","0",754,"-0.001","0.007",13,"0.002","0.162","0","0.1"
"55951","506702","Sandy León",29,"BOS",87,2825,11245,"5.5","6.4",5080,"0.009",".006","6.1","4.6",3331,"0",".002","0.1","0",1345,"-0.002","0.005",22,"-0.003","0.124","0.2","0"
"60834","543228","Yan Gomes",30,"CLE",111,3935,15311,"5.5","6.2",6796,"0.004",".006","3.5","5.7",4275,"-0.001",".002","1.7","0",1914,"0","0.005",54,"0","0.081","1.0","0.3"
"31391","425877","Yadier Molina",35,"STL",121,4414,17406,"4.3","6.1",7921,"0.004",".006","4.4","7.0",5154,"-0.001",".002","1.2","0",2140,"-0.006","0.004",16,"-0.001","0.144","0.4","0"
"66017","547172","Tony Wolters",26,"COL",64,2051,8013,"6.7","6.0",3562,"0.013",".008","6.6","3.9",2378,"0.001",".003","-0.6","0",888,"-0.001","0.007",22,"-0.002","0.127","0","0"
"48685","444489","Manny Piña",31,"MIL",92,3105,12539,"6.4","5.9",5697,"0.006",".006","4.9","5.0",3516,"-0.001",".002","1.3","0",1512,"-0.001","0.005",29,"-0.002","0.114","-0.3","0"
