"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"57191","518960","Jonathan Lucroy",27,"MIL",126,4563,17433,"32.6","34.0",7796,"0.028",".007","30.7","7.2",5168,"-0.002",".002","3.0","0",2112,"0.004","0.005",79,"0.024","0.070","0.3","0.4"
"31391","425877","Yadier Molina",30,"STL",131,4612,17447,"32.2","32.8",7527,"0.026",".007","27.6","7.9",4960,"-0.004",".002","4.8","0",2010,"-0.006","0.005",27,"-0.010","0.127","0.4","0"
"894","150040","José Molina",38,"TB",96,3101,12000,"22.4","24.0",5381,"0.034",".008","25.7","5.9",3398,"0.003",".002","-2.1","0",1445,"0","0.006",52,"0.014","0.086","0.4","0.3"
"58548","457763","Buster Posey",26,"SF",121,4349,16776,"21.2","20.8",7317,"0.019",".006","19.8","6.6",4815,"-0.001",".002","1.3","0",2028,"-0.003","0.005",60,"0.004","0.088","-0.3","0.2"
"45447","431145","Russell Martin",30,"PIT",120,4392,16505,"21.4","19.9",7464,"0.018",".007","18.8","7.1",4832,"-0.001",".002","1.4","0",1984,"0.001","0.005",67,"-0.085","0.089","-0.3","0.3"
"45449","435263","Brian McCann",29,"ATL",92,3297,12624,"17.8","17.8",5681,"0.020",".007","15.7","5.9",3572,"-0.002",".002","2.0","0",1554,"0.001","0.006",44,"0.017","0.095","0.1","0.3"
"49755","474233","Hank Conger",25,"LAA",71,2287,9113,"17.1","17.4",4126,"0.033",".008","18.9","4.6",2891,"0.001",".002","-0.7","0",1175,"0.003","0.007",48,"0.012","0.086","-0.8","0.3"
"43258","455755","Chris Stewart",31,"NYY",108,3594,13795,"17.6","17.0",6338,"0.017",".007","14.8","5.9",4328,"-0.002",".002","2.0","0",1742,"-0.003","0.005",38,"0.010","0.104","0.2","0.1"
"60834","543228","Yan Gomes",25,"CLE",85,2985,11407,"17.5","16.0",5104,"0.020",".008","14.4","5.9",3494,"-0.001",".002","1.1","0",1489,"-0.001","0.005",36,"-0.065","0.112","0.5","0"
"58899","488671","Alex Avila",26,"DET",98,3433,13533,"10.9","11.0",6175,"0.016",".007","13.5","6.1",3934,"0.003",".002","-2.6","0",1596,"0.002","0.006",60,"0.016","0.081","0.1","0.3"
"57712","446308","Matt Wieters",27,"BAL",140,5088,19773,"11.3","10.5",8908,"0.006",".006","8.0","7.5",5440,"-0.002",".001","2.3","0",2350,"-0.003","0.005",48,"-0.042","0.097","0.2","0"
"52678","450317","J.P. Arencibia",27,"TOR",131,4574,17415,"9.8","9.4",8232,"0.010",".006","11.2","7.0",5220,"0.002",".001","-2.4","0",2202,"-0.002","0.004",57,"0.010","0.084","0.6","0.1"
"47910","446653","Jose Lobaton",28,"TB",96,2977,11777,"8.3","8.3",5178,"0.009",".007","6.3","5.2",3437,"-0.002",".002","1.5","0",1389,"0.004","0.007",54,"0.049","0.078","0.4","0.3"
"49829","467092","Wilson Ramos",25,"WSH",77,2751,10431,"7.6","7.8",4474,"0.013",".009","8.3","5.4",2899,"0",".002","-0.1","0",1215,"0","0.007",37,"-0.027","0.106","-0.5","0.2"
"36585","452672","Ryan Hanigan",32,"CIN",72,2394,9154,"8.5","7.6",4031,"0.016",".009","8.8","4.9",2324,"0.002",".002","-1.2","0",964,"-0.002","0.007",23,"-0.049","0.134","0","0"
"48082","455117","Martín Maldonado",26,"MIL",47,1526,5881,"8.7","7.4",2595,"0.020",".010","7.1","3.6",1624,"-0.001",".003","0.3","0",675,"0","0.008",18,"0.018","0.145","-0.1","0.1"
"41774","425784","René Rivera",29,"SD",21,719,2847,"7.2","7.2",1282,"0.039",".013","7.0","2.4",765,"-0.001",".004","0.2","0",306,"0.001","0.013",12,"-0.050","0.182","0","0.1"
"99903","572287","Mike Zunino",22,"SEA",50,1847,7049,"7.0","6.9",3030,"0.017",".009","7.0","3.8",2095,"0",".003","-0.1","0",851,"0","0.008",24,"0.012","0.125","0","0.2"
