"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"45449","435263","Brian McCann",25,"ATL",127,4609,17415,"29.8","28.3",8058,"0.022",".007","24.9","7.8",5342,"-0.002",".001","3.7","0",2372,"0","0.005",71,"-0.007","0.076","-0.3","0.3"
"36585","452672","Ryan Hanigan",28,"CIN",88,2836,10761,"20.7","18.4",4976,"0.027",".007","18.5","5.1",3123,"0",".002","-0.1","0",1413,"0","0.005",34,"-0.009","0.105","-0.1","0.2"
"894","150040","José Molina",34,"NYY",49,1479,5793,"17.0","16.6",2789,"0.044",".010","17.3","3.8",1734,"0.002",".002","-1.1","0",722,"-0.001","0.009",24,"-0.011","0.125","0.4","0"
"379","424325","David Ross",32,"ATL",52,1471,5618,"18.4","16.5",2514,"0.041",".009","14.5","3.3",1614,"-0.003",".003","1.6","0",746,"0","0.008",27,"-0.026","0.121","0.4","0.2"
"52","124748","Gregg Zaun",38,"TB",83,2831,10896,"15.3","15.9",4982,"0.015",".007","10.5","5.1",3272,"-0.006",".002","5.4","0",1469,"-0.001","0.006",42,"-0.001","0.089","0","0"
"31391","425877","Yadier Molina",26,"STL",138,4931,18162,"13.5","12.2",8581,"0.006",".006","7.7","7.6",5472,"-0.002",".002","3.4","0",2345,"-0.004","0.005",35,"-0.018","0.104","1.1","0"
"39835","471083","Miguel Montero",25,"ARI",111,3958,14977,"9.9","11.7",6605,"0.016",".007","14.6","6.8",4271,"0.003",".002","-3.0","0",1860,"0.002","0.006",67,"0.006","0.072","0.1","0.4"
"43102","434567","Geovany Soto",26,"CHC",96,3480,13516,"11.0","10.5",6153,"0.012",".007","10.2","6.0",4009,"0",".002","0.3","0",1794,"0.001","0.005",60,"-0.002","0.078","0","0.3"
"34180","400120","Chris Coste",36,"HOU",55,1515,5799,"9.7","9.7",2700,"0.022",".009","8.2","3.2",1662,"-0.003",".002","1.5","0",767,"0","0.007",22,"-0.005","0.124","0","0.2"
"45447","431145","Russell Martin",26,"LAD",137,5014,19722,"9.7","9.6",8891,"0.011",".006","13.9","7.5",5698,"0.002",".002","-3.9","0",2458,"0.002","0.005",71,"0.005","0.072","-0.4","0.4"
